,FundCode,类型
348,669,债券型
349,672,混合型
350,674,债券型
351,677,货币型
352,678,货币型
353,679,混合型
354,681,货币型
355,682,货币型
356,683,货币型
357,684,混合型
358,686,货币型
359,687,货币型
360,688,股票型
361,689,混合型
362,690,混合型
363,692,债券型
364,693,货币型
365,694,债券型
366,695,混合型
367,696,股票型
368,697,股票型
369,698,混合型
370,699,货币型
371,700,货币型
372,701,货币型
373,704,货币型
374,705,货币型
375,706,混合型
376,707,货币型
377,708,混合型
378,709,货币型
379,710,货币型
380,711,股票型
381,712,货币型
382,713,货币型
383,714,混合型
384,716,货币型
385,717,混合型
386,719,货币型
387,723,债券型
388,724,货币型
389,725,货币型
390,726,货币型
391,727,混合型
392,729,股票型
393,730,货币型
394,734,货币型
395,735,货币型
396,736,债券型
397,737,债券型
398,738,货币型
399,739,混合型
400,742,混合型
401,743,混合型
402,744,债券型
403,745,债券型
404,746,股票型
405,747,混合型
406,748,货币型
407,750,货币型
408,751,股票型
409,753,混合型
410,754,混合型
411,755,混合型
412,756,股票型
413,757,混合型
414,758,货币型
415,759,货币型
416,760,货币型
417,761,股票型
418,762,混合型
419,763,混合型
420,764,货币型
421,767,混合型
422,771,货币型
423,772,混合型
424,773,货币型
425,778,股票型
426,779,货币型
427,780,股票型
428,781,债券型
429,782,债券型
430,785,货币型
431,786,货币型
432,787,货币型
433,788,混合型
434,789,货币型
435,790,货币型
436,793,股票型
437,794,混合型
438,796,混合型
439,797,货币型
440,800,混合型
441,801,债券型
442,802,债券型
443,803,股票型
444,804,混合型
445,805,混合型
446,810,债券型
447,812,债券型
448,814,债券型
449,815,债券型
450,816,货币型
451,818,货币型
452,822,混合型
453,823,混合型
454,824,混合型
455,825,混合型
456,828,股票型
457,829,货币型
458,830,货币型
459,831,股票型
460,832,货币型
461,836,货币型
462,837,货币型
463,839,债券型
464,840,债券型
465,841,混合型
466,843,混合型
467,844,混合型
468,845,混合型
469,846,货币型
470,847,货币型
471,848,货币型
472,849,混合型
473,850,混合型
474,854,股票型
475,855,货币型
476,856,货币型
477,857,货币型
478,859,债券型
479,860,货币型
480,861,货币型
481,862,货币型
482,863,货币型
483,866,股票型
484,867,股票型
485,868,货币型
486,869,货币型
487,870,混合型
488,871,货币型
489,872,货币型
490,873,货币型
491,874,货币型
492,875,债券型
493,876,债券型
494,877,混合型
495,878,混合型
496,879,混合型
497,880,混合型
498,882,货币型
499,883,货币型
500,884,股票型
501,887,混合型
502,889,债券型
503,890,债券型
504,891,货币型
505,892,混合型
506,893,股票型
507,894,混合型
508,895,货币型
509,896,债券型
510,897,债券型
511,898,债券型
512,899,债券型
513,901,货币型
514,902,货币型
515,903,货币型
516,904,混合型
517,905,货币型
518,907,货币型
519,908,货币型
520,910,债券型
521,911,债券型
522,912,货币型
523,913,股票型
524,914,债券型
525,916,股票型
526,917,货币型
527,920,货币型
528,921,货币型
529,922,货币型
530,923,货币型
531,924,混合型
532,925,股票型
533,926,混合型
534,928,混合型
535,929,混合型
536,930,混合型
537,931,债券型
538,932,混合型
539,933,混合型
540,935,混合型
541,936,混合型
542,937,债券型
543,938,债券型
544,939,混合型
545,940,混合型
546,943,债券型
547,944,债券型
548,945,混合型
549,946,混合型
550,953,混合型
551,954,混合型
552,955,股票型
553,958,债券型
554,959,债券型
555,960,股票型
556,963,混合型
557,965,混合型
558,966,混合型
559,967,混合型
560,969,混合型
561,970,混合型
562,971,股票型
563,972,混合型
564,973,债券型
565,974,股票型
566,976,混合型
567,977,混合型
568,978,股票型
569,979,股票型
570,980,货币型
571,981,货币型
572,982,货币型
573,985,股票型
574,986,混合型
575,991,股票型
576,992,混合型
577,993,混合型
578,994,混合型
579,995,混合型
580,996,股票型
581,997,债券型
582,998,债券型
583,1000,混合型
584,1001,债券型
585,1003,债券型
586,1004,混合型
587,1006,货币型
588,1007,混合型
589,1008,股票型
590,1009,股票型
591,1010,货币型
592,1011,债券型
593,1013,债券型
594,1014,混合型
595,1017,混合型
596,1018,混合型
597,1026,货币型
598,1028,股票型
599,1030,混合型
600,1031,债券型
601,1033,债券型
602,1036,股票型
603,1037,混合型
604,1039,股票型
605,1040,股票型
606,1042,股票型
607,1043,股票型
608,1044,股票型
609,1045,债券型
610,1046,债券型
611,1047,股票型
612,1048,股票型
613,1050,股票型
614,1053,混合型
615,1054,股票型
616,1056,混合型
617,1059,混合型
618,1060,混合型
619,1067,混合型
620,1068,混合型
621,1069,混合型
622,1070,股票型
623,1071,混合型
624,1072,股票型
625,1073,混合型
626,1074,混合型
627,1075,混合型
628,1076,混合型
629,1077,货币型
630,1078,货币型
631,1086,债券型
632,1087,债券型
633,1088,混合型
634,1094,货币型
635,1095,货币型
636,1096,货币型
637,1097,股票型
638,1101,货币型
639,1102,混合型
640,1103,混合型
641,1104,股票型
642,1105,股票型
643,1106,混合型
644,1110,混合型
645,1111,混合型
646,1112,混合型
647,1115,混合型
648,1116,混合型
649,1117,混合型
650,1118,混合型
651,1119,混合型
652,1120,混合型
653,1121,混合型
654,1122,混合型
655,1123,混合型
656,1124,债券型
657,1125,混合型
658,1126,股票型
659,1127,混合型
660,1128,混合型
661,1134,货币型
662,1135,混合型
663,1136,混合型
664,1139,混合型
665,1140,混合型
666,1141,混合型
667,1142,混合型
668,1143,混合型
669,1144,混合型
670,1146,混合型
671,1147,混合型
672,1148,混合型
673,1150,混合型
674,1152,混合型
675,1154,混合型
676,1156,混合型
677,1157,混合型
678,1158,股票型
679,1162,股票型
680,1163,股票型
681,1164,混合型
682,1165,混合型
683,1166,股票型
684,1167,股票型
685,1170,混合型
686,1171,股票型
687,1172,混合型
688,1173,混合型
689,1174,混合型
690,1175,货币型
691,1176,货币型
692,1177,货币型
693,1178,股票型
694,1179,混合型
695,1181,混合型
696,1182,混合型
697,1183,混合型
698,1184,混合型
699,1185,混合型
700,1186,股票型
701,1188,股票型
702,1189,混合型
703,1190,混合型
704,1191,混合型
705,1192,混合型
706,1193,股票型
707,1194,混合型
708,1195,股票型
709,1196,混合型
710,1197,混合型
711,1198,混合型
712,1199,债券型
713,1200,债券型
714,1201,混合型
715,1202,混合型
716,1203,混合型
717,1204,混合型
718,1205,混合型
719,1208,股票型
720,1209,混合型
721,1210,混合型
722,1211,货币型
723,1212,债券型
724,1213,债券型
725,1215,混合型
726,1216,混合型
727,1217,混合型
728,1218,混合型
729,1219,混合型
730,1220,混合型
731,1222,混合型
732,1223,股票型
733,1224,混合型
734,1225,混合型
735,1226,混合型
736,1227,混合型
737,1228,混合型
738,1229,混合型
739,1230,股票型
740,1231,混合型
741,1232,货币型
742,1233,货币型
