,FundCode,类型
4101,6923,股票型
4102,6924,股票型
4103,6926,股票型
4115,6957,股票型
4125,6981,股票型
4137,7005,股票型
4192,7130,股票型
4194,7133,股票型
4195,7134,股票型
4196,7137,股票型
4197,7138,股票型
4230,7287,股票型
4231,7288,股票型
4301,7470,股票型
4302,7471,股票型
4318,7523,股票型
4319,7524,股票型
4327,7586,股票型
4498,110022,股票型
4538,160127,股票型
4539,160133,股票型
4549,160322,股票型
4594,160919,股票型
4657,162107,股票型
4666,162208,股票型
4689,163110,股票型
4715,164205,股票型
4726,165310,股票型
4770,167702,股票型
4771,167703,股票型
4772,167705,股票型
4773,167706,股票型
4851,206012,股票型
4912,240005,股票型
5017,320020,股票型
5019,320022,股票型
5022,340006,股票型
5034,360001,股票型
5060,376510,股票型
5084,399011,股票型
5126,450009,股票型
5320,519193,股票型
5360,519606,股票型
5404,519673,股票型
5425,519714,股票型
5488,519935,股票型
5502,519965,股票型
5505,519975,股票型
5538,540006,股票型
5539,540007,股票型
5540,540008,股票型
5541,540009,股票型
5542,540010,股票型
5647,671030,股票型
5659,673090,股票型
