,FundCode,Sim1,name,type,Sim2
1980,2504,PHJDLHPZHHA,鹏华金鼎灵活配置混合A,混合型,PENGHUAJINDINGLINGHUOPEIZHIHUNHEA
1981,2505,PHJDLHPZHHC,鹏华金鼎灵活配置混合C,混合型,PENGHUAJINDINGLINGHUOPEIZHIHUNHEC
1982,2506,ZSZY18GYDKZ,招商招盈18个月定开债,定开债券,ZHAOSHANGZHAOYING18GEYUEDINGKAIZHAI
1983,2507,XYDKZC,兴业定开债C,定开债券,XINGYEDINGKAIZHAIC
1984,2510,SWLXZZ500ZSZQA,申万菱信中证500指数增强A,股票指数,SHENWANLINGXINZHONGZHENG500ZHISHUZENGQIANGA
1985,2512,CCJRHH,长城久润混合,混合型,CHANGCHENGJIURUNHUNHE
1986,2513,JYYAHHC,金鹰元安混合C,混合型,JINYINGYUANANHUNHEC
1987,2514,ZSFYHHA,招商丰益混合A,混合型,ZHAOSHANGFENGYIHUNHEA
1988,2515,ZSFYHHC,招商丰益混合C,混合型,ZHAOSHANGFENGYIHUNHEC
1989,2518,MSJYXFHHA,民生加银鑫福混合A,混合型,MINSHENGJIAYINXINFUHUNHEA
1990,2519,BSYJCZ,博时裕景纯债,债券型,BOSHIYUJINGCHUNZHAI
1991,2520,ZSZRCZFQSC,招商招瑞纯债发起式C,债券型,ZHAOSHANGZHAORUICHUNZHAIFAQISHIC
1992,2521,YYSLZQA,永赢双利债券A,债券型,YONGYINGSHUANGLIZHAIQUANA
1993,2522,YYSLZQC,永赢双利债券C,债券型,YONGYINGSHUANGLIZHAIQUANC
1994,2523,GDHLCZ,光大恒利纯债,债券型,GUANGDAHENGLICHUNZHAI
1995,2524,XYFYZQ,兴业福益债券,债券型,XINGYEFUYIZHAIQUAN
1996,2527,NFAXJDSY,南方安享绝对收益,混合型,NANFANGANXIANGJUEDUISHOUYI
1997,2528,TKAYCZA,泰康安益纯债A,债券型,TAIKANGANYICHUNZHAIA
1998,2529,TKAYCZC,泰康安益纯债C,债券型,TAIKANGANYICHUNZHAIC
1999,2533,ZJXXHHC,中加心享混合C,混合型,ZHONGJIAXINXIANGHUNHEC
2000,2534,HAWGSYZQA,华安稳固收益债券A,债券型,HUAANWENGUSHOUYIZHAIQUANA
2001,2535,ZYXLHHA,中银鑫利混合A,混合型,ZHONGYINXINLIHUNHEA
2002,2536,ZYXLHHC,中银鑫利混合C,混合型,ZHONGYINXINLIHUNHEC
2003,2537,PAAYLHPZHH,平安安盈灵活配置混合,混合型,PINGANANYINGLINGHUOPEIZHIHUNHE
2004,2542,CCJDHH,长城久鼎混合,混合型,CHANGCHENGJIUDINGHUNHE
2005,2543,CCJYHHA,长城久益混合A,混合型,CHANGCHENGJIUYIHUNHEA
2006,2544,CCJYHHC,长城久益混合C,混合型,CHANGCHENGJIUYIHUNHEC
2007,2545,DFYLHPZHH,东方岳灵活配置混合,混合型,DONGFANGYUELINGHUOPEIZHIHUNHE
2008,2546,TKXYBHBE,泰康薪意保货币E,货币型,TAIKANGXINYIBAOHUOBIE
2009,2547,MSJYYLFWHH,民生加银养老服务混合,混合型,MINSHENGJIAYINYANGLAOFUWUHUNHE
2010,2548,JSWRCZZQ,嘉实稳瑞纯债债券,债券型,JIASHIWENRUICHUNZHAIZHAIQUAN
2011,2549,JSWXCZZQA,嘉实稳祥纯债债券A,债券型,JIASHIWENXIANGCHUNZHAIZHAIQUANA
2012,2550,JSWRZQ,嘉实稳荣债券,债券型,JIASHIWENRONGZHAIQUAN
2013,2552,HXHLDKZ,华夏恒利定开债,定开债券,HUAXIAHENGLIDINGKAIZHAI
2014,2553,BSCYCZHHC,博时创业成长混合C,混合型,BOSHICHUANGYECHENGZHANGHUNHEC
2015,2554,XDAYCZZQ,信达澳银纯债债券,债券型,XINDAAOYINCHUNZHAIZHAIQUAN
2016,2555,BSHGSYZQYJJC,博时沪港深优质企业基金C,混合型,BOSHIHUGANGSHENYOUZHIQIYEJIJINC
2017,2556,BSSLZTGPC,博时丝路主题股票C,股票型,BOSHISILUZHUTIGUPIAOC
2018,2558,BSXRHHA,博时鑫瑞混合A,混合型,BOSHIXINRUIHUNHEA
2019,2559,BSXRHHC,博时鑫瑞混合C,混合型,BOSHIXINRUIHUNHEC
2020,2560,NAHXLHPZHH,诺安和鑫灵活配置混合,混合型,NUOANHEXINLINGHUOPEIZHIHUNHE
2021,2561,DWAXLH,东吴安鑫量化,混合型,DONGWUANXINLIANGHUA
2022,2562,HDHYLHHH,泓德泓益量化混合,混合型,HONGDEHONGYILIANGHUAHUNHE
2023,2563,HDHHHH,泓德泓汇混合,混合型,HONGDEHONGHUIHUNHE
2024,2564,XWTYLHPZHH,新沃通盈灵活配置混合,混合型,XINWOTONGYINGLINGHUOPEIZHIHUNHE
2025,2567,DCGJAQZTHH,大成国家安全主题混合,混合型,DACHENGGUOJIAANQUANZHUTIHUNHE
2026,2568,BSYFCZ,博时裕发纯债,债券型,BOSHIYUFACHUNZHAI
2029,2574,ZSRQHHA,招商瑞庆混合A,混合型,ZHAOSHANGRUIQINGHUNHEA
2030,2577,NFXXHH,南方新兴混合,混合型,NANFANGXINXINGHUNHE
2031,2578,BSYQCZZQ,博时裕泉纯债债券,债券型,BOSHIYUQUANCHUNZHAIZHAIQUAN
2032,2579,RTZLZQ,融通增利债券,债券型,RONGTONGZENGLIZHAIQUAN
2033,2580,TXXXLHPZHHC,泰信鑫选灵活配置混合C,混合型,TAIXINXINXUANLINGHUOPEIZHIHUNHEC
2034,2581,ZSFKHHA,招商丰凯混合A,混合型,ZHAOSHANGFENGKAIHUNHEA
2035,2582,ZSFKHHC,招商丰凯混合C,混合型,ZHAOSHANGFENGKAIHUNHEC
2036,2583,TXHYJXHHC,泰信行业精选混合C,混合型,TAIXINHANGYEJINGXUANHUNHEC
2037,2584,FADCYLHPZHH,富安达长盈灵活配置混合,混合型,FUANDACHANGYINGLINGHUOPEIZHIHUNHE
2039,2586,JYTLXYZZQA,金鹰添利信用债债券A,债券型,JINYINGTIANLIXINYONGZHAIZHAIQUANA
2040,2587,JYTLXYZZQC,金鹰添利信用债债券C,债券型,JINYINGTIANLIXINYONGZHAIZHAIQUANC
2041,2588,BSYZDSJ100A,博时银智大数据100A,股票指数,BOSHIYINZHIDASHUJU100A
2042,2591,ZOXYZLZQLOFE,中欧信用增利债券(LOF)E,债券型,ZHONGOUXINYONGZENGLIZHAIQUANLOFE
2043,2592,ZOCZZQLOFE,中欧纯债债券(LOF)E,债券型,ZHONGOUCHUNZHAIZHAIQUANLOFE
2044,2593,FGMLZGHH,富国美丽中国混合,混合型,FUGUOMEILIZHONGGUOHUNHE
2045,2594,GYXDFWYHH,工银现代服务业混合,混合型,GONGYINXIANDAIFUWUYEHUNHE
2046,2595,BSGY40ZTGP,博时工业4.0主题股票,股票型,BOSHIGONGYE40ZHUTIGUPIAO
2047,2596,HSHB1HHH,华商回报1号混合,混合型,HUASHANGHUIBAO1HAOHUNHE
2048,2597,XYCZDLHH,兴业成长动力混合,混合型,XINGYECHENGZHANGDONGLIHUNHE
2049,2598,PAZNSHHHA,平安智能生活混合A,混合型,PINGANZHINENGSHENGHUOHUNHEA
2050,2599,PAZNSHHHC,平安智能生活混合C,混合型,PINGANZHINENGSHENGHUOHUNHEC
2051,2600,YFDYJTL6GYDKZ,易方达裕景添利6个月定开债,定开债券,YIFANGDAYUJINGTIANLI6GEYUEDINGKAIZHAI
2052,2601,ZYZQJZJXHH,中银证券价值精选混合,混合型,ZHONGYINZHENGQUANJIAZHIJINGXUANHUNHE
2053,2602,YFDFHHH,易方达丰惠混合,混合型,YIFANGDAFENGHUIHUNHE
2054,2603,GYRFDKCZ,工银瑞丰定开纯债,定开债券,GONGYINRUIFENGDINGKAICHUNZHAI
2055,2604,HXXQDHH,华夏新起点混合,混合型,HUAXIAXINQIDIANHUNHE
2056,2605,RTXXFLHPZHH,融通新消费灵活配置混合,混合型,RONGTONGXINXIAOFEILINGHUOPEIZHIHUNHE
2058,2610,BSHJETFLJA,博时黄金ETF联接A,联接基金,BOSHIHUANGJINETFLIANJIEA
2059,2611,BSHJETFLJC,博时黄金ETF联接C,联接基金,BOSHIHUANGJINETFLIANJIEC
2060,2612,RTTHHHAB,融通通慧混合A/B,混合型,RONGTONGTONGHUIHUNHEAB
2062,2614,ZYYLHHA,中银颐利混合A,混合型,ZHONGYINYILIHUNHEA
2063,2615,ZYYLHHC,中银颐利混合C,混合型,ZHONGYINYILIHUNHEC
2068,2620,ZYWLXLCHH,中邮未来新蓝筹混合,混合型,ZHONGYOUWEILAIXINLANCHOUHUNHE
2069,2621,ZOXFZTGPA,中欧消费主题股票A,股票型,ZHONGOUXIAOFEIZHUTIGUPIAOA
2070,2622,GFWYHH,广发稳裕混合,混合型,GUANGFAWENYUHUNHE
2071,2624,GFYQJXHH,广发优企精选混合,混合型,GUANGFAYOUQIJINGXUANHUNHE
2072,2625,BSAY6GY,博时安怡6个月,定开债券,BOSHIANYI6GEYUE
2073,2628,ZSABLHPZHHA,招商安博灵活配置混合A,混合型,ZHAOSHANGANBOLINGHUOPEIZHIHUNHEA
2074,2629,ZSABLHPZHHC,招商安博灵活配置混合C,混合型,ZHAOSHANGANBOLINGHUOPEIZHIHUNHEC
2075,2630,JXRFLHPZHHA,江信瑞福灵活配置混合A,混合型,JIANGXINRUIFULINGHUOPEIZHIHUNHEA
2076,2631,JXRFLHPZHHC,江信瑞福灵活配置混合C,混合型,JIANGXINRUIFULINGHUOPEIZHIHUNHEC
2077,2632,XYSZZQZQA,鑫元双债增强债券A,债券型,XINYUANSHUANGZHAIZENGQIANGZHAIQUANA
2078,2633,XYSZZQZQC,鑫元双债增强债券C,债券型,XINYUANSHUANGZHAIZENGQIANGZHAIQUANC
2079,2634,HBWLZDHH,华宝未来主导混合,混合型,HUABAOWEILAIZHUDAOHUNHE
2080,2635,RTZXZQ,融通增鑫债券,债券型,RONGTONGZENGXINZHAIQUAN
2081,2636,GFJYZQA,广发集裕债券A,债券型,GUANGFAJIYUZHAIQUANA
2082,2637,GFJYZQC,广发集裕债券C,债券型,GUANGFAJIYUZHAIQUANC
2083,2638,XYTRZQ,兴业天融债券,债券型,XINGYETIANRONGZHAIQUAN
2084,2639,THJZJXLHPZHH,天弘价值精选灵活配置混合,混合型,TIANHONGJIAZHIJINGXUANLINGHUOPEIZHIHUNHE
2085,2640,ZXJTRYHHA,中信建投睿溢混合A,混合型,ZHONGXINJIANTOURUIYIHUNHEA
2086,2643,PHXLHH,鹏华兴利混合,混合型,PENGHUAXINGLIHUNHE
2087,2644,DCJRZQA,大成景荣债券A,债券型,DACHENGJINGRONGZHAIQUANA
2088,2645,DCJRZQC,大成景荣债券C,债券型,DACHENGJINGRONGZHAIQUANC
2089,2646,ZKWTHBA,中科沃土货币A,货币型,ZHONGKEWOTUHUOBIA
2090,2647,ZKWTHBB,中科沃土货币B,货币型,ZHONGKEWOTUHUOBIB
2091,2649,MSZZ2025LHPZHH,民生智造2025灵活配置混合,混合型,MINSHENGZHIZAO2025LINGHUOPEIZHIHUNHE
2092,2650,DFHWTLCZ,东方红稳添利纯债,债券型,DONGFANGHONGWENTIANLICHUNZHAI
2093,2651,DFHHLZQA,东方红汇利债券A,债券型,DONGFANGHONGHUILIZHAIQUANA
2094,2652,DFHHLZQC,东方红汇利债券C,债券型,DONGFANGHONGHUILIZHAIQUANC
2095,2653,TKHGSJXHH,泰康沪港深精选混合,混合型,TAIKANGHUGANGSHENJINGXUANHUNHE
2096,2654,STMGCLJXHH,上投摩根策略精选混合,混合型,SHANGTOUMOGENCELUEJINGXUANHUNHE
2097,2655,NFZXJDSY,南方卓享绝对收益,混合型,NANFANGZHUOXIANGJUEDUISHOUYI
2098,2656,NFCYBETFLJA,南方创业板ETF联接A,联接基金,NANFANGCHUANGYEBANETFLIANJIEA
2101,2659,XYZZ13NZJZA,兴业中债1-3年政金债A,债券指数,XINGYEZHONGZHAI13NIANZHENGJINZHAIA
2103,2661,XYTXZQ,兴业天禧债券,债券型,XINGYETIANXIZHAIQUAN
2104,2662,QHKYHGSDXFHHA,前海开源沪港深大消费混合A,混合型,QIANHAIKAIYUANHUGANGSHENDAXIAOFEIHUNHEA
2105,2663,QHKYHGSDXFHHC,前海开源沪港深大消费混合C,混合型,QIANHAIKAIYUANHUGANGSHENDAXIAOFEIHUNHEC
2106,2664,WJRHLHPZHHA,万家瑞和灵活配置混合A,混合型,WANJIARUIHELINGHUOPEIZHIHUNHEA
2107,2665,WJRHLHPZHHC,万家瑞和灵活配置混合C,混合型,WANJIARUIHELINGHUOPEIZHIHUNHEC
2108,2666,QHKYHGSCXCZHHA,前海开源沪港深创新成长混合A,混合型,QIANHAIKAIYUANHUGANGSHENCHUANGXINCHENGZHANGHUNHEA
2109,2667,QHKYHGSCXCZHHC,前海开源沪港深创新成长混合C,混合型,QIANHAIKAIYUANHUGANGSHENCHUANGXINCHENGZHANGHUNHEC
2110,2668,XYJFLHPZHH,兴业聚丰灵活配置混合,混合型,XINGYEJUFENGLINGHUOPEIZHIHUNHE
2111,2669,HSWZCXHH,华商万众创新混合,混合型,HUASHANGWANZHONGCHUANGXINHUNHE
2112,2670,WJHS300ZSZQA,万家沪深300指数增强A,股票指数,WANJIAHUSHEN300ZHISHUZENGQIANGA
2113,2671,WJHS300ZSZQC,万家沪深300指数增强C,股票指数,WANJIAHUSHEN300ZHISHUZENGQIANGC
2114,2672,NDHBA,诺德货币A,货币型,NUODEHUOBIA
2115,2673,NDHBB,诺德货币B,货币型,NUODEHUOBIB
2116,2679,GYAYHBA,工银安盈货币A,货币型,GONGYINANYINGHUOBIA
2117,2680,GYAYHBB,工银安盈货币B,货币型,GONGYINANYINGHUOBIB
2118,2681,JYYHLHPZHHA,金鹰元和灵活配置混合A,混合型,JINYINGYUANHELINGHUOPEIZHIHUNHEA
2119,2682,JYYHLHPZHHC,金鹰元和灵活配置混合C,混合型,JINYINGYUANHELINGHUOPEIZHIHUNHEC
2120,2683,MSJYQYKJLHPZHH,民生加银前沿科技灵活配置混合,混合型,MINSHENGJIAYINQIANYANKEJILINGHUOPEIZHIHUNHE
2121,2684,MSJYXACZA,民生加银鑫安纯债A,债券型,MINSHENGJIAYINXINANCHUNZHAIA
2122,2685,ZOFHHGSHHA,中欧丰泓沪港深混合A,混合型,ZHONGOUFENGHONGHUGANGSHENHUNHEA
2123,2686,ZOFHHGSHHC,中欧丰泓沪港深混合C,混合型,ZHONGOUFENGHONGHUGANGSHENHUNHEC
2124,2688,HTHTCYDKZA,红塔红土长益定开债A,定开债券,HONGTAHONGTUCHANGYIDINGKAIZHAIA
2125,2689,HTHTCYDKZC,红塔红土长益定开债C,定开债券,HONGTAHONGTUCHANGYIDINGKAIZHAIC
2126,2690,QHKYHZHHA,前海开源恒泽混合A,混合型,QIANHAIKAIYUANHENGZEHUNHEA
2127,2691,QHKYHZHHC,前海开源恒泽混合C,混合型,QIANHAIKAIYUANHENGZEHUNHEC
2128,2692,FGCXKJHH,富国创新科技混合,混合型,FUGUOCHUANGXINKEJIHUNHE
2129,2694,ZYXLCHH,中银新蓝筹混合,混合型,ZHONGYINXINLANCHOUHUNHE
2130,2697,ZOXFZTGPC,中欧消费主题股票C,股票型,ZHONGOUXIAOFEIZHUTIGUPIAOC
2131,2698,BSYLCZZQ,博时裕利纯债债券,债券型,BOSHIYULICHUNZHAIZHAIQUAN
2132,2701,DFHHYZQA,东方红汇阳债券A,债券型,DONGFANGHONGHUIYANGZHAIQUANA
2133,2702,DFHHYZQC,东方红汇阳债券C,债券型,DONGFANGHONGHUIYANGZHAIQUANC
2134,2703,CCJYLHPZHH,长城久源灵活配置混合,混合型,CHANGCHENGJIUYUANLINGHUOPEIZHIHUNHE
2135,2704,DBCZYNDKZA,德邦纯债一年定开债A,定开债券,DEBANGCHUNZHAIYINIANDINGKAIZHAIA
2136,2705,DBCZYNDKZC,德邦纯债一年定开债C,定开债券,DEBANGCHUNZHAIYINIANDINGKAIZHAIC
2137,2707,DMKJLXHH,大摩科技领先混合,混合型,DAMOKEJILINGXIANHUNHE
2138,2708,DMJKCYHH,大摩健康产业混合,混合型,DAMOJIANKANGCHANYEHUNHE
2139,2709,HTHTRRBHBA,红塔红土人人宝货币A,货币型,HONGTAHONGTURENRENBAOHUOBIA
2140,2710,HTHTRRBHBB,红塔红土人人宝货币B,货币型,HONGTAHONGTURENRENBAOHUOBIB
2141,2711,GFJFZQA,广发集丰债券A,债券型,GUANGFAJIFENGZHAIQUANA
2142,2712,GFJFZQC,广发集丰债券C,债券型,GUANGFAJIFENGZHAIQUANC
2143,2713,GFZXSJHH,广发转型升级混合,混合型,GUANGFAZHUANXINGSHENGJIHUNHE
2144,2714,PHJCHH,鹏华金城混合,混合型,PENGHUAJINCHENGHUNHE
2145,2716,BSYTDKZA,博时裕通定开债A,定开债券,BOSHIYUTONGDINGKAIZHAIA
2146,2717,HTHTSLLHPZA,红塔红土盛隆灵活配置A,混合型,HONGTAHONGTUSHENGLONGLINGHUOPEIZHIA
2147,2718,HTHTSLLHPZC,红塔红土盛隆灵活配置C,混合型,HONGTAHONGTUSHENGLONGLINGHUOPEIZHIC
2148,2719,RTZXSGYDKZ,融通增祥三个月定开债,定开债券,RONGTONGZENGXIANGSANGEYUEDINGKAIZHAI
2149,2720,GSABZLZQHBZQA,国寿安保尊利增强回报债券A,债券型,GUOSHOUANBAOZUNLIZENGQIANGHUIBAOZHAIQUANA
2150,2721,GSABZLZQHBZQC,国寿安保尊利增强回报债券C,债券型,GUOSHOUANBAOZUNLIZENGQIANGHUIBAOZHAIQUANC
2151,2722,GYCFHBB,工银财富货币B,货币型,GONGYINCAIFUHUOBIB
2152,2723,JXQFA,江信祺福A,债券型,JIANGXINQIFUA
2153,2724,JXQFC,江信祺福C,债券型,JIANGXINQIFUC
2154,2725,ZOQRDCLZQ,中欧强瑞多策略债券,定开债券,ZHONGOUQIANGRUIDUOCELUEZHAIQUAN
2157,2730,HFHXLHPZHHA,华富华鑫灵活配置混合A,混合型,HUAFUHUAXINLINGHUOPEIZHIHUNHEA
2158,2731,HFHXLHPZHHC,华富华鑫灵活配置混合C,混合型,HUAFUHUAXINLINGHUOPEIZHIHUNHEC
2159,2732,CSHGSHH,长盛沪港深混合,混合型,CHANGSHENGHUGANGSHENHUNHE
2160,2733,SYHYLHB,上银慧盈利货币,货币型,SHANGYINHUIYINGLIHUOBI
2161,2734,HDYRCZZQA,泓德裕荣纯债债券A,债券型,HONGDEYURONGCHUNZHAIZHAIQUANA
2162,2735,HDYRCZZQC,泓德裕荣纯债债券C,债券型,HONGDEYURONGCHUNZHAIZHAIQUANC
2163,2736,HDYHCZZQA,泓德裕和纯债债券A,债券型,HONGDEYUHECHUNZHAIZHAIQUANA
2164,2737,HDYHCZZQC,泓德裕和纯债债券C,债券型,HONGDEYUHECHUNZHAIZHAIQUANC
2165,2738,HDYKZQA,泓德裕康债券A,债券型,HONGDEYUKANGZHAIQUANA
2166,2739,HDYKZQC,泓德裕康债券C,债券型,HONGDEYUKANGZHAIQUANC
2167,2740,HDYZYNDKZQA,泓德裕泽一年定开债券A,定开债券,HONGDEYUZEYINIANDINGKAIZHAIQUANA
2168,2741,HDYZYNDKZQC,泓德裕泽一年定开债券C,定开债券,HONGDEYUZEYINIANDINGKAIZHAIQUANC
2169,2742,HDYXZQA,泓德裕祥债券A,债券型,HONGDEYUXIANGZHAIQUANA
2170,2743,HDYXZQC,泓德裕祥债券C,债券型,HONGDEYUXIANGZHAIQUANC
2171,2745,BXRFFLHH,北信瑞丰丰利混合,混合型,BEIXINRUIFENGFENGLIHUNHE
2172,2746,HTFDCLDKHH,汇添富多策略定开混合,混合型,HUITIANFUDUOCELUEDINGKAIHUNHE
2173,2747,ZOHBC,中欧货币C,货币型,ZHONGOUHUOBIC
2174,2748,ZOHBD,中欧货币D,货币型,ZHONGOUHUOBID
2175,2749,JSWSZQ,嘉实稳盛债券,债券型,JIASHIWENSHENGZHAIQUAN
2176,2750,GYTXSNLCZQ,工银泰享三年理财债券,定开债券,GONGYINTAIXIANGSANNIANLICAIZHAIQUAN
2177,2753,JXJXBHBB,建信嘉薪宝货币B,货币型,JIANXINJIAXINBAOHUOBIB
2178,2754,BSYCCZ,博时裕创纯债,债券型,BOSHIYUCHUANGCHUNZHAI
2179,2755,BSYSCZZQ,博时裕盛纯债债券,债券型,BOSHIYUSHENGCHUNZHAIZHAIQUAN
2180,2756,ZSZX3GYDKA,招商招兴3个月定开A,定开债券,ZHAOSHANGZHAOXING3GEYUEDINGKAIA
2181,2757,ZSZX3GYDKC,招商招兴3个月定开C,定开债券,ZHAOSHANGZHAOXING3GEYUEDINGKAIC
2182,2758,JXXJZLHB,建信现金增利货币,货币型,JIANXINXIANJINZENGLIHUOBI
2183,2759,DXAYBA,东兴安盈宝A,货币型,DONGXINGANYINGBAOA
2184,2760,DXAYBB,东兴安盈宝B,货币型,DONGXINGANYINGBAOB
2185,2765,XHSLZQA,新华双利债券A,债券型,XINHUASHUANGLIZHAIQUANA
2186,2766,XHSLZQC,新华双利债券C,债券型,XINHUASHUANGLIZHAIQUANC
2187,2767,TKHTHBHH,泰康宏泰回报混合,混合型,TAIKANGHONGTAIHUIBAOHUNHE
2188,2768,HAAJLHPZHH,华安安进灵活配置混合,混合型,HUAANANJINLINGHUOPEIZHIHUNHE
2189,2769,XYDZZQC,兴业短债债券C,债券型,XINGYEDUANZHAIZHAIQUANC
2190,2770,AXXHBHHA,安信新回报混合A,混合型,ANXINXINHUIBAOHUNHEA
2191,2771,AXXHBHHC,安信新回报混合C,混合型,ANXINXINHUIBAOHUNHEC
2192,2772,GDCYXDLHH,光大产业新动力混合,混合型,GUANGDACHANYEXINDONGLIHUNHE
2193,2773,GDMXHHA,光大铭鑫混合A,混合型,GUANGDAMINGXINHUNHEA
2194,2774,GDMXHHC,光大铭鑫混合C,混合型,GUANGDAMINGXINHUNHEC
2195,2775,BSJXCZZQ,博时景兴纯债债券,债券型,BOSHIJINGXINGCHUNZHAIZHAIQUAN
2196,2776,ZSARHHA,招商安荣混合A,混合型,ZHAOSHANGANRONGHUNHEA
2197,2777,ZSARHHC,招商安荣混合C,混合型,ZHAOSHANGANRONGHUNHEC
2198,2778,XJQHLHXSLHHA,新疆前海联合新思路混合A,混合型,XINJIANGQIANHAILIANHEXINSILUHUNHEA
2199,2779,XJQHLHXSLHHC,新疆前海联合新思路混合C,混合型,XINJIANGQIANHAILIANHEXINSILUHUNHEC
2200,2780,QHLHHXHHA,前海联合泓鑫混合A,混合型,QIANHAILIANHEHONGXINHUNHEA
2201,2781,BSJR6GYDKZ,博时聚瑞6个月定开债,定开债券,BOSHIJURUI6GEYUEDINGKAIZHAI
2202,2782,FGXLDKZFQS,富国祥利定开债发起式,定开债券,FUGUOXIANGLIDINGKAIZHAIFAQISHI
2203,2783,DFHJZJXHHA,东方红价值精选混合A,混合型,DONGFANGHONGJIAZHIJINGXUANHUNHEA
2204,2784,DFHJZJXHHC,东方红价值精选混合C,混合型,DONGFANGHONGJIAZHIJINGXUANHUNHEC
2205,2785,ZRRYSLZQA,中融融裕双利债券A,债券型,ZHONGRONGRONGYUSHUANGLIZHAIQUANA
2206,2786,ZRRYSLZQC,中融融裕双利债券C,债券型,ZHONGRONGRONGYUSHUANGLIZHAIQUANC
2207,2788,RTXJBHBA,融通现金宝货币A,货币型,RONGTONGXIANJINBAOHUOBIA
2208,2789,CSTXLHPZA,长盛同享灵活配置A,混合型,CHANGSHENGTONGXIANGLINGHUOPEIZHIA
2209,2790,CSTXLHPZC,长盛同享灵活配置C,混合型,CHANGSHENGTONGXIANGLINGHUOPEIZHIC
2210,2792,JSCCSYHBHHA,景顺长城顺益回报混合A,混合型,JINGSHUNCHANGCHENGSHUNYIHUIBAOHUNHEA
2211,2793,JSCCSYHBHHC,景顺长城顺益回报混合C,混合型,JINGSHUNCHANGCHENGSHUNYIHUIBAOHUNHEC
2212,2794,THYLZQE,天弘永利债券E,债券型,TIANHONGYONGLIZHAIQUANE
2213,2795,PAHYCZ,平安惠盈纯债,债券型,PINGANHUIYINGCHUNZHAI
2216,2801,HDHXHH,泓德泓信混合,混合型,HONGDEHONGXINHUNHE
2217,2802,GFDCDSJHH,广发东财大数据混合,混合型,GUANGFADONGCAIDASHUJUHUNHE
2218,2803,DFHHGSHH,东方红沪港深混合,混合型,DONGFANGHONGHUGANGSHENHUNHE
2219,2804,HTBRLHDC,华泰柏瑞量化对冲,混合型,HUATAIBAIRUILIANGHUADUICHONG
2220,2805,ZSHJJLYNDKZA,浙商汇金聚利一年定开债A,定开债券,ZHESHANGHUIJINJULIYINIANDINGKAIZHAIA
2221,2806,ZSHJJLYNDKZC,浙商汇金聚利一年定开债C,定开债券,ZHESHANGHUIJINJULIYINIANDINGKAIZHAIC
2222,2807,RTTAZQ,融通通安债券,债券型,RONGTONGTONGANZHAIQUAN
2223,2808,HDYSLHHH,泓德优势领航混合,混合型,HONGDEYOUSHILINGHANGHUNHE
2224,2810,JXZXCXCZHHFQS,金信转型创新成长混合发起式,混合型,JINXINZHUANXINGCHUANGXINCHENGZHANGHUNHEFAQISHI
2226,2812,BSYTDKZC,博时裕通定开债C,定开债券,BOSHIYUTONGDINGKAIZHAIC
2227,2813,BSYTHHA,博时颐泰混合A,混合型,BOSHIYITAIHUNHEA
2228,2814,BSYTHHC,博时颐泰混合C,混合型,BOSHIYITAIHUNHEC
2229,2817,ZSZHCZA,招商招恒纯债A,债券型,ZHAOSHANGZHAOHENGCHUNZHAIA
2230,2818,ZSZHCZC,招商招恒纯债C,债券型,ZHAOSHANGZHAOHENGCHUNZHAIC
2231,2819,ZSFMHHA,招商丰美混合A,混合型,ZHAOSHANGFENGMEIHUNHEA
2232,2820,ZSFMHHC,招商丰美混合C,混合型,ZHAOSHANGFENGMEIHUNHEC
2233,2823,ZSSDHHA,招商盛达混合A,混合型,ZHAOSHANGSHENGDAHUNHEA
2234,2824,ZSSDHHC,招商盛达混合C,混合型,ZHAOSHANGSHENGDAHUNHEC
2235,2825,RTTHZQ,融通通和债券,债券型,RONGTONGTONGHEZHAIQUAN
2236,2826,ZYYLBNDKZ,中银永利半年定开债,定开债券,ZHONGYINYONGLIBANNIANDINGKAIZHAI
2237,2828,NFXJZLHBE,南方现金增利货币E,货币型,NANFANGXIANJINZENGLIHUOBIE
2238,2829,NFXJZLHBF,南方现金增利货币F,货币型,NANFANGXIANJINZENGLIHUOBIF
2239,2830,ZSHFDKZ,浙商惠丰定开债,定开债券,ZHESHANGHUIFENGDINGKAIZHAI
2240,2831,GTRYRNHH,国投瑞银瑞宁混合,混合型,GUOTOURUIYINRUININGHUNHE
2241,2832,GYHXCZZQ,工银恒享纯债债券,债券型,GONGYINHENGXIANGCHUNZHAIZHAIQUAN
2242,2833,HXXJXHHA,华夏新锦绣混合A,混合型,HUAXIAXINJINXIUHUNHEA
2243,2834,HXXJXHHC,华夏新锦绣混合C,混合型,HUAXIAXINJINXIUHUNHEC
2244,2837,HXWGJXHH,华夏网购精选混合,混合型,HUAXIAWANGGOUJINGXUANHUNHE
2245,2838,HXXJCHHA,华夏新锦程混合A,混合型,HUAXIAXINJINCHENGHUNHEA
2246,2839,HXXJCHHC,华夏新锦程混合C,混合型,HUAXIAXINJINCHENGHUNHEC
2247,2844,JYDYCLHH,金鹰多元策略混合,混合型,JINYINGDUOYUANCELUEHUNHE
2248,2845,STMGAXHBC,上投摩根安鑫回报C,混合型,SHANGTOUMOGENANXINHUIBAOC
2250,2847,THXJGJHBE,天弘现金管家货币E,货币型,TIANHONGXIANJINGUANJIAHUOBIE
2251,2849,JXZNZG2025HH,金信智能中国2025混合,混合型,JINXINZHINENGZHONGGUO2025HUNHE
