,基金规模,类型,近1年收益,近1月收益,近3年收益,风险等级
0,-0.01974893364370034,-0.044887608745708005,0.24580790306597977,0.887677621248422,-0.1758743766954586,0.10864896704278071
1,-0.05545990861612816,0.0076055014651298936,0.758168040031965,0.7016581413214189,,0.12445534733277075
2,-0.0580401733055232,-2.0350928461554005,0.655901821336749,0.9633281134383552,,-0.4906285516882891
3,-0.08575720589926945,-0.05756333152142931,,0.9625114573335865,,0.1048321367227862
4,-0.0645029247773814,-1.9355856723331273,0.5797492553444739,0.4898870915969147,,
5,0.09553172819159306,-0.10398136585000907,0.6166818904811247,0.8031465429074512,,
6,-0.06209620772328239,-1.9206657112408139,,0.7016063086092902,,-0.4561730049948391
7,-0.048777275179359335,-1.9350200480250432,0.7374053513078825,0.7806434665365837,,-0.4604952885309224
8,-0.050441771548914494,-0.04707255109535475,0.35549846285890885,0.5084666695671076,,0.10799105156489214
9,-0.06794205866479222,-2.0350928461554005,0.06644860486959403,0.11539547957870504,,
10,-0.05684265935891794,-1.9322126433424562,0.8914583858155466,0.6978152615212171,,-0.45964994128701503
11,-0.06885103991741238,-1.8287977588532127,0.980886364515762,0.439680422656726,,
12,-0.001403145634593428,-0.3259577300866888,0.9226402592051832,0.6047169902863908,,-0.10418860213097568
13,-0.052506124667450756,-1.9317445824910158,0.6922567070601064,0.8835558648124905,,
14,-0.0421702874899812,0.04849556545743174,0.60610069624995,0.981987588394949,-0.2501685855200263,0.13676789461656474
15,-0.08502764277714585,-0.05728873688931006,0.4815660858133865,1.100456569291806,,0.10491482085339755
16,-0.06240708375011083,-1.702199358750747,0.6919379988797767,0.40548426707712376,,
17,-0.028933628268389855,0.20754450611452127,0.9230833279563947,0.7399355972055733,,
18,-0.06369374678687037,-1.9239558953945348,0.4055350390335054,0.1504117935326138,,
19,0.041446407634722064,-0.6153020997855606,,0.7596576537018003,,-0.3088756970918218
20,-0.09010838371757429,-0.011425045453397432,0.5990305436777628,1.2558654636468933,,0.11872499413951228
21,-0.07136629417192301,-2.035092846155401,1.0030410850414908,0.9733401891797885,,-0.4906285516882892
22,-0.06343485198960032,-1.725579281581297,0.5323795335010852,0.8971031996982173,,
23,-0.0708717298569487,-1.9325901095616156,0.7866457916842133,0.9122813732504714,,
24,-0.04949056366366121,-2.0350928461554,0.6477829475601213,0.6223557334612372,,
25,-0.07685390481664103,-0.16525270756553073,0.6463676615836056,1.0055079163536496,,
26,-0.056703832013680955,-2.0350928461554005,,-0.059528418237920884,,
27,-0.06346189266811336,0.1270254461350153,0.15887262751378434,0.4217218119740831,,
28,-0.07178443042419373,-0.11189932343060577,0.5391295134574781,0.9681005954090196,,
29,-0.03994112127821441,0.3072705761839353,,1.391699802320759,,
30,-0.03634925028028346,-2.0350928461554,0.4767740682613375,0.36162850144097985,,
31,-0.059141898182328206,-1.834989238389281,,1.1605411262165661,,-0.4303746686730423
32,-0.08959739388950684,-0.3655698539330979,,0.757728438382772,,
33,-0.06674443475552921,-1.9363034990528345,0.6685829291550727,0.6870896711674738,,
34,-0.06539456217530701,-1.8299591208677854,0.7784496117945736,0.7892491640033387,,-0.4288600327497989
35,-0.06752532290775039,-1.9354436345976491,0.8087871270485737,0.6822904471617838,,-0.4606228361352739
36,0.1819133718899539,-1.0723399701413492,-0.2467689182174192,-0.4045170382360064,0.0934530778651734,1.2487583532718045
37,-0.06378509804857606,0.13363575674222336,0.6838529474410724,0.6911416178773462,,0.1624047493581621
38,-0.08124575721196219,-2.0350928461554005,0.7753263560790004,0.6681831249658384,,-0.49062855168828917
39,-0.04406353768390954,0.2444418395093777,,0.5030725901321093,,0.19576994863149735
40,-0.049760513935519265,-0.5094165471589188,0.4230636822249756,0.8789661582924339,,-0.031226933371072373
41,-0.07538735014774714,-1.8361342385060888,0.6053421643728816,0.8013636607733368,,
42,-0.06683923844512117,0.6644943017346306,0.5327429853022572,1.2576066682723428,-0.19859045507918682,
43,-0.04431155444719356,-0.2642322027021454,0.5592020276883313,1.0809844642869741,,0.042601364744049186
44,-0.0668356623688639,-1.9359383977070266,,0.7364086949349367,,-0.4607718159505079
45,-0.06415858423171417,-1.8440106786250383,0.6698905154503897,0.716555644936828,,-0.4330911454555585
46,-0.050304779115259136,0.12666525889661945,0.5549487242014889,0.645583954247545,,0.1603058388665635
47,-0.043801526569560156,-1.9272411001683807,0.6203195442930333,1.1079144751305696,,-0.4581529428862359
48,-0.05145228378537723,-1.9360022502474907,0.4556884560637583,0.49190365694707516,,-0.4607910428077663
49,-0.0517817904332546,-1.9204539387881538,0.39539233276164243,0.8352361569154534,,-0.4561092374659531
50,-0.07659596913898215,-1.81230534917501,0.8263135180490174,1.0163440115314708,,-0.42354424506246446
51,-0.04410284999169811,-1.9206789799148871,0.5536001010629718,0.36727852181568044,,-0.4561770003707561
52,-0.04053641685571745,-0.3301733927532565,0.5331129956362728,0.8254249607503482,,
53,-0.06145969657773792,-2.0350928461554005,,0.8097965143058762,,-0.4906285516882892
54,-0.0606839958370442,-2.0350928461554005,0.7249205901289866,0.5827008809625476,,
55,-0.04301373065199945,-0.8962310519570945,-0.2346731983882882,-0.34566213082020825,0.0409614007525239,0.22435014608457712
56,-0.08491541286044874,0.044475710746549844,0.8300219754254404,0.9140947305234866,,0.013185489573008038
57,-0.07500411544676637,-1.8139784330516702,0.6053894906665843,1.0175700278311763,,
58,-0.03300750268705629,0.0019849535034929117,0.48494337390254144,0.538473775962355,,
59,-0.037163231391543934,-1.7268717790646564,0.6729828350551958,0.588040455290642,,-0.3978190500174017
