FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
007326,1.4152760224652399,-0.434725632971566,,,,-0.3310234815723918
007098,-0.4199170616105658,-0.6183516061870086,,,,-0.36251291744238373
006856,-0.4199170616105658,-0.5265386195792873,,,,0.6464610902252739
007273,1.4152760224652399,-0.6016583358946956,,,,-0.35660864821676025
006616,1.4152760224652399,1.8494701853599251,,,-0.04572432335686167,-0.20309764835054964
003276,-0.4199170616105658,-0.4096857275330965,-0.5866763950691771,,,-0.3618568875284256
007373,-0.4199170616105658,-0.6294804530485506,,,,-0.23130693465075075
004117,-0.4199170616105658,-0.5627073718792988,-0.16141644873475527,,,0.9639795685810257
007155,-0.4199170616105658,-0.5849650656023827,,,,0.16624719320789724
006595,1.4152760224652399,0.7504965577826548,,,-0.04572432335686167,-0.22146648594137824
007024,-0.4199170616105658,-0.6016583358946956,,,,-0.29690992604656724
002756,-0.4199170616105658,-0.5515785250177567,1.2607643554000325,1.0558401130380626,,1.5806476877017006
006992,1.4152760224652399,0.2024008498517123,,,-0.04572432335686167,-0.34939231916322044
007259,-0.4199170616105658,-0.5933117007485391,,,1.059280157767305,12.669521323336562
007188,1.4152760224652399,-0.23718860117919582,,,,-0.35595261830280206
006659,-1.3375136036484687,-1.4530151208026572,,,-1.1507288044810284,-0.3526724687330112
007235,-0.4199170616105658,-0.42916120954079495,,,-2.2557332856051953,-0.35923276787259295
006911,-1.3375136036484687,0.7004167469057159,,,-1.1507288044810284,-0.35464055847488574
007413,-1.3375136036484687,0.6308614540210786,,,-1.1507288044810284,-0.36251291744238373
007084,1.4152760224652399,0.0911123812362925,,,-0.04572432335686167,-0.25558004146720287
007101,1.4152760224652399,1.3987518874674751,,,-0.04572432335686167,-0.3290553918305173
004736,-0.4199170616105658,-0.5265386195792873,1.4211082695917,,,-0.25886019103699365
007208,-0.4199170616105658,-0.5627073718792988,,,1.059280157767305,0.03176106084647337
006636,-0.4199170616105658,-0.6350448764793216,,,1.059280157767305,-0.3244631824328102
007495,-0.4199170616105658,-0.6155693944716232,,,1.059280157767305,-0.36316894735634186
007047,1.4152760224652399,1.6881019058675664,,,-0.04572432335686167,0.8642630216593847
007435,-0.4199170616105658,-0.5321030430100583,,,,0.2948290563436975
007197,-0.4199170616105658,-0.6127871827562377,,,,2.995704212109463
007192,1.4152760224652399,-0.5738362187408407,,,,-0.36316894735634186
005029,1.4152760224652399,2.033096158575368,,,-0.04572432335686167,-0.22540266542512724
002757,-0.4199170616105658,-0.5571429484485277,1.0725345430880753,0.868945586823014,,-0.36316894735634186
006637,-0.4199170616105658,-0.6461737233408635,,,1.059280157767305,-0.36316894735634186
006314,1.4152760224652399,2.394783681575482,,,-0.04572432335686167,-0.15651952445951994
006957,-1.3375136036484687,0.7004167469057159,,,-1.1507288044810284,-0.35792070804467657
519334,-0.4199170616105658,-0.6016583358946956,-1.2629094244862082,,,0.6326844620321525
007215,-0.4199170616105658,-0.6072227593254665,,,,-0.3106865542396887
007176,-0.4199170616105658,-0.5181919844331309,,,1.059280157767305,-0.3598887977865511
007386,-1.3375136036484687,0.605821548582609,,,-1.1507288044810284,-0.36316894735634186
006791,-0.4199170616105658,-0.5877472773177681,,,1.059280157767305,-0.065331366419335
007198,-0.4199170616105658,-0.6155693944716232,,,,-0.36316894735634186
007209,-0.4199170616105658,-0.5710540070254552,,,1.059280157767305,-0.36316894735634186
007193,1.4152760224652399,-0.6127871827562377,,,,-0.36316894735634186
007210,-0.4199170616105658,-0.5877472773177681,,,1.059280157767305,-0.27591696879990596
007078,-0.4199170616105658,-0.637827088194707,,,1.059280157767305,2.438734815158981
007387,1.4152760224652399,-0.028522722525283723,,,-0.04572432335686167,-0.34676819950738774
006315,1.4152760224652399,2.302970694967761,,,-0.04572432335686167,-0.33955187045384794
007146,1.4152760224652399,0.5112263502595021,,,-0.04572432335686167,0.48770185104739805
007021,-0.4199170616105658,-0.6127871827562377,,,1.059280157767305,1.295930705043857
166025,1.4152760224652399,1.4098807343290172,,,-0.04572432335686167,1.75252752515874
006429,1.4152760224652399,-0.10642465055607758,,,-0.04572432335686167,0.5421523339059258
007293,1.4152760224652399,-0.5877472773177681,,,,-0.3618568875284256
519335,-0.4199170616105658,-0.5933117007485391,-1.5069110330387456,,,-0.36316894735634186
007328,-0.4199170616105658,-0.5515785250177567,,,,-0.36316894735634186
007292,-0.4199170616105658,-0.6044405476100811,,,,0.9495469104739462
006345,1.4152760224652399,1.0843619636289141,,,-0.04572432335686167,2.2071562555317485
007233,1.4152760224652399,-0.2677929300484363,,,,-0.17292027230847407
006896,-0.4199170616105658,0.041032570359353614,,,-2.2557332856051953,-0.30543831492802337
007044,-1.3375136036484687,0.23300517872095283,,,-1.1507288044810284,-0.23261899447866705
006509,-0.4199170616105658,-0.6211338179023941,,,,0.03241709076043158
007079,-0.4199170616105658,-0.637827088194707,,,1.059280157767305,-0.3618568875284256
007404,-1.3375136036484687,0.4611465393825634,,,-1.1507288044810284,-0.35726467813071844
007147,-0.4199170616105658,-0.6155693944716232,,,1.059280157767305,-0.16439188342701794
007094,-0.4199170616105658,-0.6406092999100925,,,1.059280157767305,0.19970471881976362
007521,0.49767948042733706,-0.6044405476100811,,,,-0.36316894735634186
007385,1.4152760224652399,-0.38186361037924155,,,,-0.19784940903888432
007448,-1.3375136036484687,0.4221955753671665,,,,-0.36316894735634186
006809,-1.3375136036484687,-1.6616809994565689,,,-1.1507288044810284,-0.3539845285609276
007294,1.4152760224652399,-0.5877472773177681,,,,-0.22212251585533643
007446,-0.4199170616105658,-0.5682717953100697,,,-2.2557332856051953,-0.36251291744238373
006897,-0.4199170616105658,0.027121511782426125,,,-2.2557332856051953,-0.3598887977865511
007148,-0.4199170616105658,-0.6183516061870086,,,1.059280157767305,-0.36251291744238373
006510,-0.4199170616105658,-0.6239160296177796,,,,-0.36316894735634186
007045,-1.3375136036484687,0.22187633185941075,,,-1.1507288044810284,-0.2529559218113702
007405,-1.3375136036484687,0.1912720029901704,,,-1.1507288044810284,-0.36251291744238373
007022,-0.4199170616105658,-0.6155693944716232,,,1.059280157767305,-0.36316894735634186
007522,0.49767948042733706,-0.6072227593254665,,,,-0.3303674516584336
006786,-1.3375136036484687,0.5307018322672006,,,-1.1507288044810284,-0.3533284986469694
