FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
006035,-0.7928690268078797,-0.8042349608449044,,,1.3516984962526906,-0.07994879343518835
501055,0.9433560545187311,1.0072832575188824,-0.850555226101728,,0.3985880799459038,-0.10383628320159012
001780,0.9433560545187311,0.8887019813864341,0.6776064273836143,,0.3985880799459038,-0.10377325552410623
006546,-0.7928690268078797,-0.7159297552143578,,,1.3516984962526906,-0.09583176816113359
001958,-0.7928690268078797,-0.5519343733290566,-0.500620859877786,,-1.5076327526676696,-0.09822681990552216
005756,-0.7928690268078797,-0.7487288315914179,-0.692826189109163,,1.3516984962526906,0.705060929626907
006338,-0.7928690268078797,-0.7815279079684782,,,,-0.1075549161731408
006036,-0.7928690268078797,-0.4711981853239854,,,1.3516984962526906,-0.10787005456056034
005088,0.9433560545187311,-0.8067579667200628,-0.7436787201614106,,0.3985880799459038,-0.09482332532139104
006531,0.9433560545187311,0.27561155372292395,,,0.3985880799459038,-0.10787005456056034
005663,-1.6609815674711852,-1.1751168244932007,0.5035011515776137,,-0.5545223363608829,-0.10326903410423494
005488,-0.7928690268078797,-0.7234987728398331,-0.5101018402434594,,,0.05291355070089334
005571,0.9433560545187311,-0.21637459193297912,-0.4239111096464293,,0.3985880799459038,-0.10654647333339823
004668,0.9433560545187311,-0.6099635084577018,-0.704892891392747,,0.3985880799459038,-0.10787005456056034
001738,0.9433560545187311,-0.23151262718392998,-0.3678871347583597,,0.3985880799459038,-0.09494938067635884
003442,-0.7928690268078797,-0.7108837434640407,-0.5669877224374992,,,0.3311807467923547
005840,0.9433560545187311,1.7944610905683276,,,0.3985880799459038,-0.10679858404333387
005907,0.9433560545187311,-0.5796874379558,-0.3747823932061222,,0.3985880799459038,-0.10761794385062472
004128,0.9433560545187311,-0.6023944908322262,-0.26876779457177524,,,-0.09810076455055433
005678,-0.7928690268078797,-0.6478085965850788,-0.32996321329566664,,1.3516984962526906,0.029719365386814547
006532,0.9433560545187311,-0.178529503805602,,,0.3985880799459038,-0.10780702688307642
501062,0.9433560545187311,0.7373216288769255,,,0.3985880799459038,-0.01446303652940615
006652,0.9433560545187311,-0.8774021312245003,,,0.3985880799459038,-0.10692463939830171
005809,0.9433560545187311,-0.04733319829736107,1.351617940652389,,,-0.08662972724848277
006563,-0.7928690268078797,-0.7764818962181612,,,,-0.09507543603132668
001660,0.9433560545187311,-0.022103139545776362,0.31129582234623665,,0.3985880799459038,-0.1030169233942993
004669,0.9433560545187311,-0.622578537833494,-0.735921554407678,,0.3985880799459038,-0.09992856719758772
005255,0.9433560545187311,-0.6982687140882483,-1.3461519270346505,,0.3985880799459038,-0.09494938067635884
005572,0.9433560545187311,-0.22394360955845458,-0.45493977266136015,,0.3985880799459038,-0.10730280546320516
005917,-0.7928690268078797,-0.7234987728398331,-0.6738642283778163,,,0.017933189697323448
005089,0.9433560545187311,-0.8193729960958552,-0.796255065825599,,0.3985880799459038,-0.10742886081817297
005749,-0.7928690268078797,-0.7764818962181612,-0.6549022676464696,,,0.051589969473731234
005729,0.9433560545187311,2.218326077594952,,,0.3985880799459038,-0.10383628320159012
160226,0.9433560545187311,0.4370839297330666,-0.09811014798965582,-0.4798877904968515,,-0.10074792700487856
002713,0.9433560545187311,-0.7815279079684782,-2.065844527519851,,,-0.10352114481417056
005937,0.9433560545187311,-1.1549327774919327,,,0.3985880799459038,-0.10723977778572123
005775,0.9433560545187311,0.7423676406272424,,,0.3985880799459038,-0.10730280546320516
005439,-0.7928690268078797,-0.72854478459015,-0.5135494694673405,,,-0.041754020879939055
004760,0.9433560545187311,-0.5544573792042152,-0.35409661786283503,,,-0.09179799680216336
004932,0.9433560545187311,-0.6856536847124559,0.03720929904768135,,,-0.09482332532139104
006585,-0.7928690268078797,-0.342524885690903,,,-1.5076327526676696,-0.10711372243075343
005764,0.9433560545187311,0.23019744797007147,-0.5307876155867466,,,-0.10642041797843042
006029,-0.7928690268078797,-0.7562978492168934,-0.6652451553181133,,,-0.04351879584948852
006076,-0.7928690268078797,-0.7462058257162595,-0.6031878292882518,,1.3516984962526906,-0.03828749861832403
006685,0.9433560545187311,-0.29711077993805046,,,0.3985880799459038,-0.1062943626234626
005373,0.9433560545187311,-0.024626145420934737,-0.45063023613150865,,0.3985880799459038,-0.1056010581711396
005106,-1.6609815674711852,0.5682802352413076,4.334679126615598,,-0.5545223363608829,-0.0621119607072419
006443,-0.7928690268078797,-0.7033147258385654,,,,-0.043896961914391984
005938,0.9433560545187311,-1.1650248009925668,,,0.3985880799459038,-0.10774399920559252
005259,-1.6609815674711852,0.7928277581304121,1.1990603474956458,,-0.5545223363608829,-0.08581036744119194
005776,0.9433560545187311,0.7247065995011331,,,0.3985880799459038,-0.1074918884956569
004761,0.9433560545187311,-0.5569803850793735,-0.36530141284044887,,,-0.10787005456056034
004933,0.9433560545187311,-0.7007917199634068,-0.021400397758299067,,,-0.10774399920559252
005072,-0.7928690268078797,-0.7134067493391992,-0.3584061543926865,,,0.0215257673139063
005273,-0.7928690268078797,0.05106403083381949,-0.6557641749524401,,0.3985880799459038,-0.10654647333339823
673141,0.9433560545187311,-0.7714358844678442,-0.0033003443329228414,,0.3985880799459038,-0.10358417249165448
673101,-1.6609815674711852,0.008172930956125363,,,-0.5545223363608829,-0.10774399920559252
006444,-0.7928690268078797,-0.7083607375888823,,,,-0.10787005456056034
005112,-1.6609815674711852,1.6758798144358795,0.45523434244327693,,-0.5545223363608829,-0.09167194144719555
006611,-1.6609815674711852,0.3538247358528369,,,-0.5545223363608829,-0.10295389571681537
005765,0.9433560545187311,1.4261022327951898,1.6058805959136278,,0.3985880799459038,-0.09898315203532908
006077,-0.7928690268078797,-0.7537748433417348,-0.6307688630793012,,1.3516984962526906,-0.022656634602314416
