,Unnamed: 0,FundCode,Sim1,name,type,Sim2
1199,1244,1572,JHPSC,嘉合磐石C,混合型,JIAHEPANSHIC
1200,1245,1573,NFHLWLHPZHH,南方互联网+灵活配置混合,混合型,NANFANGHULIANWANGLINGHUOPEIZHIHUNHE
1201,1246,1574,ZHHGHLHH,中海混改红利混合,混合型,ZHONGHAIHUNGAIHONGLIHUNHE
1202,1247,1575,XYWJZQ,兴银稳健债券,债券型,XINGYINWENJIANZHAIQUAN
1203,1248,1576,GTZNZBGP,国泰智能装备股票,股票型,GUOTAIZHINENGZHUANGBEIGUPIAO
1204,1249,1577,JSDJCLGP,嘉实低价策略股票,股票型,JIASHIDIJIACELUEGUPIAO
1205,1250,1578,BSYRCZZQ,博时裕瑞纯债债券,债券型,BOSHIYURUICHUNZHAIZHAIQUAN
1206,1251,1579,GTDNYGP,国泰大农业股票,股票型,GUOTAIDANONGYEGUPIAO
1207,1252,1580,NFLAC,南方利安C,混合型,NANFANGLIANC
1208,1253,1581,HAHGSTJXLHPZHH,华安沪港深通精选灵活配置混合,混合型,HUAANHUGANGSHENTONGJINGXUANLINGHUOPEIZHIHUNHE
1209,1254,1583,AXXCTGP,安信新常态股票,股票型,ANXINXINCHANGTAIGUPIAO
1210,1255,1584,GTRYXHLDKHHA,国投瑞银新活力定开混合A,混合型,GUOTOURUIYINXINHUOLIDINGKAIHUNHEA
1211,1256,1585,GTRYXHLDKHHC,国投瑞银新活力定开混合C,混合型,GUOTOURUIYINXINHUOLIDINGKAIHUNHEC
1218,1263,1596,XCXZA,信诚新泽A,混合型,XINCHENGXINZEA
1219,1264,1601,XYXXSYLHPZHHA,鑫元鑫新收益灵活配置混合A,混合型,XINYUANXINXINSHOUYILINGHUOPEIZHIHUNHEA
1220,1265,1602,XYXXSYLHPZHHC,鑫元鑫新收益灵活配置混合C,混合型,XINYUANXINXINSHOUYILINGHUOPEIZHIHUNHEC
1221,1266,1603,YFDAYHBHH,易方达安盈回报混合,混合型,YIFANGDAANYINGHUIBAOHUNHE
1222,1267,1604,ZSHJZXSJLHPZHH,浙商汇金转型升级灵活配置混合,混合型,ZHESHANGHUIJINZHUANXINGSHENGJILINGHUOPEIZHIHUNHE
1223,1268,1605,GFHGSCZJXGP,国富沪港深成长精选股票,股票型,GUOFUHUGANGSHENCHENGZHANGJINGXUANGUPIAO
1224,1269,1606,NYGY40HH,农银工业4.0混合,混合型,NONGYINGONGYE40HUNHE
1225,1270,1607,YDCLYXA,英大策略优选A,混合型,YINGDACELUEYOUXUANA
1226,1271,1608,YDCLYXC,英大策略优选C,混合型,YINGDACELUEYOUXUANC
1227,1272,1609,PAXXHHA,平安鑫享混合A,混合型,PINGANXINXIANGHUNHEA
1228,1273,1610,PAXXHHC,平安鑫享混合C,混合型,PINGANXINXIANGHUNHEC
1229,1274,1613,CCJXHH,长城久祥混合,混合型,CHANGCHENGJIUXIANGHUNHE
1230,1275,1614,DFQYFZHH,东方区域发展混合,混合型,DONGFANGQUYUFAZHANHUNHE
1231,1276,1615,ZORSDQKFHH,中欧睿尚定期开放混合,混合型,ZHONGOURUISHANGDINGQIKAIFANGHUNHE
1232,1277,1616,JSHBDTGP,嘉实环保低碳股票,股票型,JIASHIHUANBAODITANGUPIAO
1236,1281,1620,JSXJYHHFQS,嘉实新机遇混合发起式,混合型,JIASHIXINJIYUHUNHEFAQISHI
1237,1282,1621,GJJTTHBC,国金金腾通货币C,货币型,GUOJINJINTENGTONGHUOBIC
1238,1283,1623,XYGQGGHH,兴业国企改革混合,混合型,XINGYEGUOQIGAIGEHUNHE
1239,1284,1624,XYTTYHBA,兴业添天盈货币A,货币型,XINGYETIANTIANYINGHUOBIA
1240,1285,1625,XYTTYHBB,兴业添天盈货币B,货币型,XINGYETIANTIANYINGHUOBIB
1241,1286,1626,GTYQGGGP,国泰央企改革股票,股票型,GUOTAIYANGQIGAIGEGUPIAO
1242,1287,1628,ZSTYWHXXGP,招商体育文化休闲股票,股票型,ZHAOSHANGTIYUWENHUAXIUXIANGUPIAO
1247,1292,1633,WJRXHHA,万家瑞祥混合A,混合型,WANJIARUIXIANGHUNHEA
1248,1293,1634,WJRXHHC,万家瑞祥混合C,混合型,WANJIARUIXIANGHUNHEC
1249,1294,1635,WJRYLHPZHHA,万家瑞益灵活配置混合A,混合型,WANJIARUIYILINGHUOPEIZHIHUNHEA
1250,1295,1636,WJRYLHPZHHC,万家瑞益灵活配置混合C,混合型,WANJIARUIYILINGHUOPEIZHIHUNHEC
1251,1296,1637,JSTXZXGDSJCLGP,嘉实腾讯自选股大数据策略股票,股票型,JIASHITENGXUNZIXUANGUDASHUJUCELUEGUPIAO
1252,1297,1638,QHKYYSLCGPC,前海开源优势蓝筹股票C,股票型,QIANHAIKAIYUANYOUSHILANCHOUGUPIAOC
1253,1298,1641,FGJDSYDCLHH,富国绝对收益多策略混合,混合型,FUGUOJUEDUISHOUYIDUOCELUEHUNHE
1254,1299,1643,HFJXZZXFGPA,汇丰晋信智造先锋股票A,股票型,HUIFENGJINXINZHIZAOXIANFENGGUPIAOA
1255,1300,1644,HFJXZZXFGPC,汇丰晋信智造先锋股票C,股票型,HUIFENGJINXINZHIZAOXIANFENGGUPIAOC
1256,1301,1645,GTDJKGP,国泰大健康股票,股票型,GUOTAIDAJIANKANGGUPIAO
1257,1302,1648,GYXJZLHPZHH,工银新价值灵活配置混合,混合型,GONGYINXINJIAZHILINGHUOPEIZHIHUNHE
1258,1303,1650,GYFSHBLHPZHHA,工银丰收回报灵活配置混合A,混合型,GONGYINFENGSHOUHUIBAOLINGHUOPEIZHIHUNHEA
1259,1304,1651,GYXLCGP,工银新蓝筹股票,股票型,GONGYINXINLANCHOUGUPIAO
1260,1305,1654,GLATXLHPZHHC,国联安添鑫灵活配置混合C,混合型,GUOLIANANTIANXINLINGHUOPEIZHIHUNHEC
1261,1306,1656,NYZGYSLHPZHH,农银中国优势灵活配置混合,混合型,NONGYINZHONGGUOYOUSHILINGHUOPEIZHIHUNHE
1262,1307,1657,CAXFLXHH,长安鑫富领先混合,混合型,CHANGANXINFULINGXIANHUNHE
1263,1308,1659,FADXDLHH,富安达新动力混合,混合型,FUANDAXINDONGLIHUNHE
1264,1309,1660,FADHYLDHH,富安达行业轮动混合,混合型,FUANDAHANGYELUNDONGHUNHE
1265,1310,1661,BSXYZCZZQC,博时信用债纯债债券C,债券型,BOSHIXINYONGZHAICHUNZHAIZHAIQUANC
1266,1311,1662,CJHXHGSJXHH,创金合信沪港深精选混合,混合型,CHUANGJINHEXINHUGANGSHENJINGXUANHUNHE
1267,1312,1663,ZYHLWGP,中银互联网+股票,股票型,ZHONGYINHULIANWANGGUPIAO
1268,1313,1664,PAXAHHA,平安鑫安混合A,混合型,PINGANXINANHUNHEA
1269,1314,1665,PAXAHHC,平安鑫安混合C,混合型,PINGANXINANHUNHEC
1270,1315,1666,PHTLBHB,鹏华添利宝货币,货币型,PENGHUATIANLIBAOHUOBI
1271,1316,1667,NFZXHH,南方转型混合,混合型,NANFANGZHUANXINGHUNHE
1273,1318,1669,NAJXBHBC,诺安聚鑫宝货币C,货币型,NUOANJUXINBAOHUOBIC
1274,1319,1672,GSABZHSHGP,国寿安保智慧生活股票,股票型,GUOSHOUANBAOZHIHUISHENGHUOGUPIAO
1275,1320,1675,JXTFA,江信同福A,混合型,JIANGXINTONGFUA
1276,1321,1676,JXTFC,江信同福C,混合型,JIANGXINTONGFUC
1277,1322,1677,ZYZLXXCYGP,中银战略新兴产业股票,股票型,ZHONGYINZHANLUEXINXINGCHANYEGUPIAO
1278,1323,1678,YDGQGGZTGP,英大国企改革主题股票,股票型,YINGDAGUOQIGAIGEZHUTIGUPIAO
1279,1324,1679,QHKYZGXQZCHHA,前海开源中国稀缺资产混合A,混合型,QIANHAIKAIYUANZHONGGUOXIQUEZICHANHUNHEA
1280,1325,1681,XHJJJZLHPZHH,新华积极价值灵活配置混合,混合型,XINHUAJIJIJIAZHILINGHUOPEIZHIHUNHE
1281,1326,1682,XHXHBHH,新华鑫回报混合,混合型,XINHUAXINHUIBAOHUNHE
1282,1327,1683,HXXJJHH,华夏新经济混合,混合型,HUAXIAXINJINGJIHUNHE
1283,1328,1685,HTFHGSXJZGP,汇添富沪港深新价值股票,股票型,HUITIANFUHUGANGSHENXINJIAZHIGUPIAO
1284,1329,1686,AXXDLHHA,安信新动力混合A,混合型,ANXINXINDONGLIHUNHEA
1285,1330,1687,AXXDLHHC,安信新动力混合C,混合型,ANXINXINDONGLIHUNHEC
1286,1331,1688,JSXQDHHA,嘉实新起点混合A,混合型,JIASHIXINQIDIANHUNHEA
1288,1333,1692,NFGCDL,南方国策动力,股票型,NANFANGGUOCEDONGLI
1290,1335,1694,HAHGSWYZZHH,华安沪港深外延增长混合,混合型,HUAANHUGANGSHENWAIYANZENGZHANGHUNHE
1291,1336,1695,HDHYHH,泓德泓业混合,混合型,HONGDEHONGYEHUNHE
1292,1337,1696,NFZZGP,南方智造股票,股票型,NANFANGZHIZAOGUPIAO
1293,1338,1697,DCHFBHBA,大成恒丰宝货币A,货币型,DACHENGHENGFENGBAOHUOBIA
1294,1339,1698,DCHFBHBB,大成恒丰宝货币B,货币型,DACHENGHENGFENGBAOHUOBIB
1295,1340,1699,DCHFBHBE,大成恒丰宝货币E,货币型,DACHENGHENGFENGBAOHUOBIE
1296,1341,1701,ZRCYSJHH,中融产业升级混合,混合型,ZHONGRONGCHANYESHENGJIHUNHE
1297,1342,1702,DFCXKJHH,东方创新科技混合,混合型,DONGFANGCHUANGXINKEJIHUNHE
1298,1343,1703,YHHGSZZGP,银华沪港深增长股票,股票型,YINHUAHUGANGSHENZENGZHANGGUPIAO
1299,1344,1704,GTRYJBLHPZHH,国投瑞银进宝灵活配置混合,混合型,GUOTOURUIYINJINBAOLINGHUOPEIZHIHUNHE
1300,1345,1705,HDZLZXGP,泓德战略转型股票,股票型,HONGDEZHANLUEZHUANXINGGUPIAO
1301,1346,1706,NAJJHBHH,诺安积极回报混合,混合型,NUOANJIJIHUIBAOHUNHE
1302,1347,1707,NAGDZZGP,诺安高端制造股票,股票型,NUOANGAODUANZHIZAOGUPIAO
1303,1348,1708,DXGGJXHH,东兴改革精选混合,混合型,DONGXINGGAIGEJINGXUANHUNHE
1304,1349,1709,HFWLSJLHPZHH,华富物联世界灵活配置混合,混合型,HUAFUWULIANSHIJIELINGHUOPEIZHIHUNHE
1305,1350,1710,AXXQSHHA,安信新趋势混合A,混合型,ANXINXINQUSHIHUNHEA
1306,1351,1711,AXXQSHHC,安信新趋势混合C,混合型,ANXINXINQUSHIHUNHEC
1307,1352,1712,DFHYSJXHH,东方红优势精选混合,混合型,DONGFANGHONGYOUSHIJINGXUANHUNHE
1309,1354,1714,GYWTCYGP,工银文体产业股票,股票型,GONGYINWENTICHANYEGUPIAO
1310,1355,1715,GYXJDHHA,工银新焦点混合A,混合型,GONGYINXINJIAODIANHUNHEA
1311,1356,1716,GYXQSLHPZHHA,工银新趋势灵活配置混合A,混合型,GONGYINXINQUSHILINGHUOPEIZHIHUNHEA
1312,1357,1717,GYQYYLGP,工银前沿医疗股票,股票型,GONGYINQIANYANYILIAOGUPIAO
1313,1358,1718,GYWLCYGP,工银物流产业股票,股票型,GONGYINWULIUCHANYEGUPIAO
1314,1359,1719,GYGJZLGP,工银国家战略股票,股票型,GONGYINGUOJIAZHANLUEGUPIAO
1315,1360,1720,GYXZLHH,工银新增利混合,混合型,GONGYINXINZENGLIHUNHE
1316,1361,1721,GYXZYHH,工银新增益混合,混合型,GONGYINXINZENGYIHUNHE
1317,1362,1722,GYYHLHH,工银银和利混合,混合型,GONGYINYINHELIHUNHE
1318,1363,1723,HSXDLLHPZHH,华商新动力灵活配置混合,混合型,HUASHANGXINDONGLILINGHUOPEIZHIHUNHE
1319,1364,1724,SWLXDCLLHPZHHC,申万菱信多策略灵活配置混合C,混合型,SHENWANLINGXINDUOCELUELINGHUOPEIZHIHUNHEC
1320,1365,1725,HTFGDZZGP,汇添富高端制造股票,股票型,HUITIANFUGAODUANZHIZAOGUPIAO
1321,1366,1726,HTFXXXFGP,汇添富新兴消费股票,股票型,HUITIANFUXINXINGXIAOFEIGUPIAO
1322,1367,1727,SWLXAXHBHHC,申万菱信安鑫回报混合C,混合型,SHENWANLINGXINANXINHUIBAOHUNHEC
1323,1368,1728,YHZLXXDKHH,银华战略新兴定开混合,混合型,YINHUAZHANLUEXINXINGDINGKAIHUNHE
1324,1369,1729,YHNXTZDKHH,银华逆向投资定开混合,混合型,YINHUANIXIANGTOUZIDINGKAIHUNHE
1325,1370,1730,XYDJK,兴银大健康,混合型,XINGYINDAJIANKANG
1326,1371,1731,GFBFDSJJZHHA,广发百发大数据价值混合A,混合型,GUANGFABAIFADASHUJUJIAZHIHUNHEA
1327,1372,1732,GFBFDSJJZHHE,广发百发大数据价值混合E,混合型,GUANGFABAIFADASHUJUJIAZHIHUNHEE
1328,1373,1733,TDHLLHGP,泰达宏利量化股票,股票型,TAIDAHONGLILIANGHUAGUPIAO
1329,1374,1734,GFBFDSJCZHHA,广发百发大数据成长混合A,混合型,GUANGFABAIFADASHUJUCHENGZHANGHUNHEA
1330,1375,1735,GFBFDSJCZHHE,广发百发大数据成长混合E,混合型,GUANGFABAIFADASHUJUCHENGZHANGHUNHEE
1331,1376,1736,YXYFYJSH,圆信永丰优加生活,股票型,YUANXINYONGFENGYOUJIASHENGHUO
1332,1377,1738,DMXQSHH,大摩新趋势混合,混合型,DAMOXINQUSHIHUNHE
1333,1378,1739,ZRRAHHEH,中融融安混合二号,混合型,ZHONGRONGRONGANHUNHEERHAO
1334,1379,1740,GDZGZZ2025HH,光大中国制造2025混合,混合型,GUANGDAZHONGGUOZHIZAO2025HUNHE
1335,1380,1741,GFBFDSJJXHHA,广发百发大数据精选混合A,混合型,GUANGFABAIFADASHUJUJINGXUANHUNHEA
1336,1381,1742,GFBFDSJJXHHE,广发百发大数据精选混合E,混合型,GUANGFABAIFADASHUJUJINGXUANHUNHEE
1337,1382,1743,NAYXHBHH,诺安优选回报混合,混合型,NUOANYOUXUANHUIBAOHUNHE
1338,1383,1744,NAJQHBHH,诺安进取回报混合,混合型,NUOANJINQUHUIBAOHUNHE
1339,1384,1745,YFDRFLHPZHHI,易方达瑞富灵活配置混合I,混合型,YIFANGDARUIFULINGHUOPEIZHIHUNHEI
1340,1385,1746,YFDRFLHPZHHE,易方达瑞富灵活配置混合E,混合型,YIFANGDARUIFULINGHUOPEIZHIHUNHEE
1341,1386,1747,YFDRQLHPZHHI,易方达瑞祺灵活配置混合I,混合型,YIFANGDARUIQILINGHUOPEIZHIHUNHEI
1342,1387,1748,YFDRQLHPZHHE,易方达瑞祺灵活配置混合E,混合型,YIFANGDARUIQILINGHUOPEIZHIHUNHEE
1343,1388,1749,ZSZGJYGP,招商中国机遇股票,股票型,ZHAOSHANGZHONGGUOJIYUGUPIAO
1345,1390,1751,HSXYZQZQA,华商信用增强债券A,债券型,HUASHANGXINYONGZENGQIANGZHAIQUANA
1346,1391,1752,HSXYZQZQC,华商信用增强债券C,债券型,HUASHANGXINYONGZENGQIANGZHAIQUANC
1347,1392,1753,HTCXXXCYHH,红土创新新兴产业混合,混合型,HONGTUCHUANGXINXINXINGCHANYEHUNHE
1348,1393,1755,JSXSLHH,嘉实新思路混合,混合型,JIASHIXINSILUHUNHE
1349,1394,1756,JSCLYXHH,嘉实策略优选混合,混合型,JIASHICELUEYOUXUANHUNHE
1350,1395,1758,JSYJZQHH,嘉实研究增强混合,混合型,JIASHIYANJIUZENGQIANGHUNHE
1351,1396,1759,JSCZZQHH,嘉实成长增强混合,混合型,JIASHICHENGZHANGZENGQIANGHUNHE
1352,1397,1760,JSCXCZHH,嘉实创新成长混合,混合型,JIASHICHUANGXINCHENGZHANGHUNHE
1353,1398,1761,GFAHHBHHA,广发安宏回报混合A,混合型,GUANGFAANHONGHUIBAOHUNHEA
1354,1399,1762,GFAHHBHHC,广发安宏回报混合C,混合型,GUANGFAANHONGHUIBAOHUNHEC
1355,1400,1763,GFDCLHH,广发多策略混合,混合型,GUANGFADUOCELUEHUNHE
1356,1401,1764,GFHGSXJYGP,广发沪港深新机遇股票,股票型,GUANGFAHUGANGSHENXINJIYUGUPIAO
1357,1402,1765,QHKYJXHHA,前海开源嘉鑫混合A,混合型,QIANHAIKAIYUANJIAXINHUNHEA
1358,1403,1766,STMGYLJKGP,上投摩根医疗健康股票,股票型,SHANGTOUMOGENYILIAOJIANKANGGUPIAO
1359,1404,1769,YFDRHHHFQS,易方达瑞惠混合发起式,混合型,YIFANGDARUIHUIHUNHEFAQISHI
1360,1405,1770,QHKYJXHHC,前海开源嘉鑫混合C,混合型,QIANHAIKAIYUANJIAXINHUNHEC
1361,1406,1771,NFLHHH,南方量化混合,混合型,NANFANGLIANGHUAHUNHE
1362,1407,1772,NFXFHL,南方消费活力,混合型,NANFANGXIAOFEIHUOLI
1363,1408,1773,ZSFQHHA,招商丰庆混合A,混合型,ZHAOSHANGFENGQINGHUNHEA
1364,1409,1774,ZSFQHHC,招商丰庆混合C,混合型,ZHAOSHANGFENGQINGHUNHEC
1365,1410,1775,PHHTC,鹏华弘泰C,混合型,PENGHUAHONGTAIC
1366,1411,1776,ZOXLZQ,中欧兴利债券,债券型,ZHONGOUXINGLIZHAIQUAN
1367,1412,1779,ZRWJTLZQ,中融稳健添利债券,债券型,ZHONGRONGWENJIANTIANLIZHAIQUAN
1368,1413,1780,NAGGQSLHPZHH,诺安改革趋势灵活配置混合,混合型,NUOANGAIGEQUSHILINGHUOPEIZHIHUNHE
1369,1414,1781,JXXDFWYGP,建信现代服务业股票,股票型,JIANXINXIANDAIFUWUYEGUPIAO
1370,1415,1782,JTJYHHA,九泰久益混合A,混合型,JIUTAIJIUYIHUNHEA
1371,1416,1783,XYHYZQA,兴银合盈债券A,债券型,XINGYINHEYINGZHAIQUANA
1372,1417,1784,XYHYZQC,兴银合盈债券C,债券型,XINGYINHEYINGZHAIQUANC
1374,1419,1789,GTLHSYLHPZHH,国泰量化收益灵活配置混合,混合型,GUOTAILIANGHUASHOUYILINGHUOPEIZHIHUNHE
1375,1420,1790,GTZNQCGP,国泰智能汽车股票,股票型,GUOTAIZHINENGQICHEGUPIAO
1376,1421,1791,DCJDSYCLHHA,大成绝对收益策略混合A,混合型,DACHENGJUEDUISHOUYICELUEHUNHEA
1377,1422,1792,DCJDSYCLHHC,大成绝对收益策略混合C,混合型,DACHENGJUEDUISHOUYICELUEHUNHEC
1378,1423,1794,XYCYZQ,兴银朝阳债券,债券型,XINGYINCHAOYANGZHAIQUAN
1379,1424,1795,STMGWTXXLHPZHH,上投摩根文体休闲灵活配置混合,混合型,SHANGTOUMOGENWENTIXIUXIANLINGHUOPEIZHIHUNHE
1380,1425,1796,HTFAXZXHHA,汇添富安鑫智选混合A,混合型,HUITIANFUANXINZHIXUANHUNHEA
1381,1426,1797,HRXLLHPZHH,华融新利灵活配置混合,混合型,HUARONGXINLILINGHUOPEIZHIHUNHE
1382,1427,1798,TKXHBLHPZHHA,泰康新回报灵活配置混合A,混合型,TAIKANGXINHUIBAOLINGHUOPEIZHIHUNHEA
1383,1428,1799,TKXHBLHPZHHC,泰康新回报灵活配置混合C,混合型,TAIKANGXINHUIBAOLINGHUOPEIZHIHUNHEC
1384,1429,1800,HAXLXHH,华安新乐享混合,混合型,HUAANXINLEXIANGHUNHE
1385,1430,1801,HTFDXHHA,汇添富达欣混合A,混合型,HUITIANFUDAXINHUNHEA
1386,1431,1802,YFDRCHHI,易方达瑞财混合I,混合型,YIFANGDARUICAIHUNHEI
1387,1432,1803,YFDRCHHE,易方达瑞财混合E,混合型,YIFANGDARUICAIHUNHEE
1388,1433,1806,YFDRZLHPZHHI,易方达瑞智灵活配置混合I,混合型,YIFANGDARUIZHILINGHUOPEIZHIHUNHEI
1389,1434,1807,YFDRZLHPZHHE,易方达瑞智灵活配置混合E,混合型,YIFANGDARUIZHILINGHUOPEIZHIHUNHEE
1390,1435,1808,YHHLWZTLHPZHH,银华互联网主题灵活配置混合,混合型,YINHUAHULIANWANGZHUTILINGHUOPEIZHIHUNHE
1391,1436,1809,ZXJTZXWLWA,中信建投智信物联网A,混合型,ZHONGXINJIANTOUZHIXINWULIANWANGA
1392,1437,1810,ZOQLJZLHPZHHA,中欧潜力价值灵活配置混合A,混合型,ZHONGOUQIANLIJIAZHILINGHUOPEIZHIHUNHEA
1393,1438,1811,ZOMRXCTHHA,中欧明睿新常态混合A,混合型,ZHONGOUMINGRUIXINCHANGTAIHUNHEA
1394,1439,1812,JSHBE,嘉实货币E,货币型,JIASHIHUOBIE
1395,1440,1815,HTBRJLDLHHA,华泰柏瑞激励动力混合A,混合型,HUATAIBAIRUIJILIDONGLIHUNHEA
1396,1441,1816,HTFXRJXHHA,汇添富新睿精选混合A,混合型,HUITIANFUXINRUIJINGXUANHUNHEA
1398,1445,1820,XQTTYHBA,兴全天添益货币A,货币型,XINGQUANTIANTIANYIHUOBIA
1399,1446,1821,XQTTYHBB,兴全天添益货币B,货币型,XINGQUANTIANTIANYIHUOBIB
1400,1447,1822,HSZNSHLHPZHH,华商智能生活灵活配置混合,混合型,HUASHANGZHINENGSHENGHUOLINGHUOPEIZHIHUNHE
1401,1448,1823,GDDXHHC,光大鼎鑫混合C,混合型,GUANGDADINGXINHUNHEC
1402,1449,1824,BSHGSCZQY,博时沪港深成长企业,混合型,BOSHIHUGANGSHENCHENGZHANGQIYE
1403,1450,1825,JXZGZZ2025,建信中国制造2025,股票型,JIANXINZHONGGUOZHIZAO2025
1404,1451,1826,GSABZJBHB,国寿安保增金宝货币,货币型,GUOSHOUANBAOZENGJINBAOHUOBI
1405,1452,1827,FGYJYXHGSHH,富国研究优选沪港深混合,混合型,FUGUOYANJIUYOUXUANHUGANGSHENHUNHE
1406,1453,1829,BXRFZGZZ,北信瑞丰中国智造,混合型,BEIXINRUIFENGZHONGGUOZHIZAO
1407,1454,1830,RTKJCZLHPZHH,融通跨界成长灵活配置混合,混合型,RONGTONGKUAJIECHENGZHANGLINGHUOPEIZHIHUNHE
1408,1457,1834,CSZLXXCYHHC,长盛战略新兴产业混合C,混合型,CHANGSHENGZHANLUEXINXINGCHANYEHUNHEC
1409,1460,1837,QHKYHGSLCJXHH,前海开源沪港深蓝筹精选混合,混合型,QIANHAIKAIYUANHUGANGSHENLANCHOUJINGXUANHUNHE
1410,1461,1838,GTRYGJAQHH,国投瑞银国家安全混合,混合型,GUOTOURUIYINGUOJIAANQUANHUNHE
1411,1462,1839,JTJXLHPZHH,九泰久兴灵活配置混合,混合型,JIUTAIJIUXINGLINGHUOPEIZHIHUNHE
1412,1463,1842,JTRTJHBA,九泰日添金货币A,货币型,JIUTAIRITIANJINHUOBIA
1413,1464,1843,JTRTJHBB,九泰日添金货币B,货币型,JIUTAIRITIANJINHUOBIB
1414,1465,1844,JTJYHHC,九泰久益混合C,混合型,JIUTAIJIUYIHUNHEC
1415,1466,1849,QHKYQSGS100QGP,前海开源强势共识100强股票,股票型,QIANHAIKAIYUANQIANGSHIGONGSHI100QIANGGUPIAO
1416,1467,1850,GTAYLHPZHHA,国泰安益灵活配置混合A,混合型,GUOTAIANYILINGHUOPEIZHIHUNHEA
1417,1468,1852,RTZGF1HLHPZHH,融通中国风1号灵活配置混合,混合型,RONGTONGZHONGGUOFENG1HAOLINGHUOPEIZHIHUNHE
1418,1470,1856,YFDHBZTHH,易方达环保主题混合,混合型,YIFANGDAHUANBAOZHUTIHUNHE
1419,1471,1857,YFDXDFWYHH,易方达现代服务业混合,混合型,YIFANGDAXIANDAIFUWUYEHUNHE
1420,1472,1858,JXXLLHPZHH,建信鑫利灵活配置混合,混合型,JIANXINXINLILINGHUOPEIZHIHUNHE
1423,1475,1861,FADJKRSHH,富安达健康人生混合,混合型,FUANDAJIANKANGRENSHENGHUNHE
1424,1476,1862,DFHSYZQZQA,东方红收益增强债券A,债券型,DONGFANGHONGSHOUYIZENGQIANGZHAIQUANA
1425,1477,1863,DFHSYZQZQC,东方红收益增强债券C,债券型,DONGFANGHONGSHOUYIZENGQIANGZHAIQUANC
1426,1478,1864,ZHMLCSJHH,中海魅力长三角混合,混合型,ZHONGHAIMEILICHANGSANJIAOHUNHE
1427,1479,1865,QHKYSJQDHHC,前海开源事件驱动混合C,混合型,QIANHAIKAIYUANSHIJIANQUDONGHUNHEC
1428,1480,1866,BXRFXCZ,北信瑞丰新成长,混合型,BEIXINRUIFENGXINCHENGZHANG
1429,1481,1867,NAJXBHBD,诺安聚鑫宝货币D,货币型,NUOANJUXINBAOHUOBID
1430,1482,1868,ZSCYZQC,招商产业债券C,债券型,ZHAOSHANGCHANYEZHAIQUANC
1431,1483,1869,ZSZZYHHA,招商制造业混合A,混合型,ZHAOSHANGZHIZAOYEHUNHEA
1432,1484,1870,QHKYHBA,前海开源货币A,货币型,QIANHAIKAIYUANHUOBIA
1433,1485,1871,QHKYHBB,前海开源货币B,货币型,QIANHAIKAIYUANHUOBIB
1434,1486,1874,QHKYHGSJZJXHH,前海开源沪港深价值精选混合,混合型,QIANHAIKAIYUANHUGANGSHENJIAZHIJINGXUANHUNHE
1435,1487,1875,QHKYHGSYSJXHH,前海开源沪港深优势精选混合,混合型,QIANHAIKAIYUANHUGANGSHENYOUSHIJINGXUANHUNHE
1437,1489,1877,BYGJAQHGSGP,宝盈国家安全沪港深股票,股票型,BAOYINGGUOJIAANQUANHUGANGSHENGUPIAO
1438,1490,1878,JSHGSJXGP,嘉实沪港深精选股票,股票型,JIASHIHUGANGSHENJINGXUANGUPIAO
1440,1492,1880,CCZGZZLHPZHH,长城中国智造灵活配置混合,混合型,CHANGCHENGZHONGGUOZHIZAOLINGHUOPEIZHIHUNHE
1441,1493,1881,ZOXQSHHE,中欧新趋势混合E,混合型,ZHONGOUXINQUSHIHUNHEE
1442,1494,1882,ZOJZFXHHE,中欧价值发现混合E,混合型,ZHONGOUJIAZHIFAXIANHUNHEE
1443,1495,1883,ZOXDLHHLOFE,中欧新动力混合(LOF)E,混合型,ZHONGOUXINDONGLIHUNHELOFE
1444,1496,1884,ZOHTJXHHE,中欧互通精选混合E,混合型,ZHONGOUHUTONGJINGXUANHUNHEE
1445,1497,1885,ZOXLCHHE,中欧新蓝筹混合E,混合型,ZHONGOUXINLANCHOUHUNHEE
1446,1498,1886,ZOHYCZHHLOFE,中欧行业成长混合(LOF)E,混合型,ZHONGOUHANGYECHENGZHANGHUNHELOFE
1447,1499,1887,ZOJZZXHHE,中欧价值智选混合E,混合型,ZHONGOUJIAZHIZHIXUANHUNHEE
1448,1500,1888,ZOSSCZHHLOFE,中欧盛世成长混合(LOF)E,混合型,ZHONGOUSHENGSHICHENGZHANGHUNHELOFE
1449,1501,1889,ZOZQHBZQLOFE,中欧增强回报债券(LOF)E,债券型,ZHONGOUZENGQIANGHUIBAOZHAIQUANLOFE
1450,1502,1890,ZOJXDQKFHHE,中欧精选定期开放混合E,混合型,ZHONGOUJINGXUANDINGQIKAIFANGHUNHEE
1451,1503,1891,ZOCZYXHHE,中欧成长优选混合E,混合型,ZHONGOUCHENGZHANGYOUXUANHUNHEE
1452,1504,1892,CSXXCZHH,长盛新兴成长混合,混合型,CHANGSHENGXINXINGCHENGZHANGHUNHE
1453,1505,1893,HBXJTYB,华宝现金添益B,货币型,HUABAOXIANJINTIANYIB
1454,1506,1894,TDHLHQYHBA,泰达宏利活期友货币A,货币型,TAIDAHONGLIHUOQIYOUHUOBIA
1455,1507,1895,TDHLHQYHBB,泰达宏利活期友货币B,货币型,TAIDAHONGLIHUOQIYOUHUOBIB
