,Unnamed: 0,FundCode,Sim1,name,type,Sim2
94,98,123,HTFSYZZQC,汇添富实业债债券C,债券型,HUITIANFUSHIYEZHAIZHAIQUANC
95,99,124,HBFWYXHH,华宝服务优选混合,混合型,HUABAOFUWUYOUXUANHUNHE
96,100,126,ZSARHH,招商安润混合,混合型,ZHAOSHANGANRUNHUNHE
97,101,127,NYHYLXHH,农银行业领先混合,混合型,NONGYINHANGYELINGXIANHUNHE
98,102,128,DCJADRZQA,大成景安短融债券A,债券型,DACHENGJINGANDUANRONGZHAIQUANA
99,103,129,DCJADRZQB,大成景安短融债券B,债券型,DACHENGJINGANDUANRONGZHAIQUANB
100,104,130,DCJXXYZZQA,大成景兴信用债债券A,债券型,DACHENGJINGXINGXINYONGZHAIZHAIQUANA
101,105,131,DCJXXYZZQC,大成景兴信用债债券C,债券型,DACHENGJINGXINGXINYONGZHAIZHAIQUANC
104,108,136,MSJYCLJXHH,民生加银策略精选混合,混合型,MINSHENGJIAYINCELUEJINGXUANHUNHE
107,111,139,FGGYQYZZQAB,富国国有企业债债券A/B,债券型,FUGUOGUOYOUQIYEZHAIZHAIQUANAB
108,113,141,FGGYQYZZQC,富国国有企业债债券C,债券型,FUGUOGUOYOUQIYEZHAIZHAIQUANC
109,114,142,RTZQSYZQA,融通增强收益债券A,债券型,RONGTONGZENGQIANGSHOUYIZHAIQUANA
110,115,143,PHSZJLZQ,鹏华双债加利债券,债券型,PENGHUASHUANGZHAIJIALIZHAIQUAN
111,116,147,YFDGDJXYZZQA,易方达高等级信用债债券A,债券型,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANA
112,117,148,YFDGDJXYZZQC,易方达高等级信用债债券C,债券型,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANC
113,118,149,HASZTLZQA,华安双债添利债券A,债券型,HUAANSHUANGZHAITIANLIZHAIQUANA
114,119,150,HASZTLZQC,华安双债添利债券C,债券型,HUAANSHUANGZHAITIANLIZHAIQUANC
115,120,152,DCJXCZZQA,大成景旭纯债债券A,债券型,DACHENGJINGXUCHUNZHAIZHAIQUANA
116,121,153,DCJXCZZQC,大成景旭纯债债券C,债券型,DACHENGJINGXUCHUNZHAIZHAIQUANC
117,131,165,GTRYCLJXHH,国投瑞银策略精选混合,混合型,GUOTOURUIYINCELUEJINGXUANHUNHE
118,132,166,ZHXXCYJXHH,中海信息产业精选混合,混合型,ZHONGHAIXINXICHANYEJINGXUANHUNHE
119,133,167,GFJYLHPZHHA,广发聚优灵活配置混合A,混合型,GUANGFAJUYOULINGHUOPEIZHIHUNHEA
120,134,171,YFDYFHBZQ,易方达裕丰回报债券,债券型,YIFANGDAYUFENGHUIBAOZHAIQUAN
121,135,172,HTBRLHZQHHA,华泰柏瑞量化增强混合A,混合型,HUATAIBAIRUILIANGHUAZENGQIANGHUNHEA
122,136,173,HTFML30HH,汇添富美丽30混合,混合型,HUITIANFUMEILI30HUNHE
123,137,174,HTFGXZZQA,汇添富高息债债券A,债券型,HUITIANFUGAOXIZHAIZHAIQUANA
124,138,175,HTFGXZZQC,汇添富高息债债券C,债券型,HUITIANFUGAOXIZHAIZHAIQUANC
128,142,181,JSCCSJJLZQA,景顺长城四季金利债券A,债券型,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANA
129,143,182,JSCCSJJLZQC,景顺长城四季金利债券C,债券型,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANC
131,145,184,GYTFZQA,工银添福债券A,债券型,GONGYINTIANFUZHAIQUANA
132,146,185,GYTFZQB,工银添福债券B,债券型,GONGYINTIANFUZHAIQUANB
133,147,186,HTBRJJHZQ,华泰柏瑞季季红债券,债券型,HUATAIBAIRUIJIJIHONGZHAIQUAN
134,148,187,HTBRFSCZZQA,华泰柏瑞丰盛纯债债券A,债券型,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANA
135,149,188,HTBRFSCZZQC,华泰柏瑞丰盛纯债债券C,债券型,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANC
136,150,189,YFDFHZQA,易方达丰华债券A,债券型,YIFANGDAFENGHUAZHAIQUANA
137,151,190,ZYXHBLHPZHH,中银新回报灵活配置混合,混合型,ZHONGYINXINHUIBAOLINGHUOPEIZHIHUNHE
138,152,191,FGXYZZQAB,富国信用债债券A/B,债券型,FUGUOXINYONGZHAIZHAIQUANAB
139,153,192,FGXYZZQC,富国信用债债券C,债券型,FUGUOXINYONGZHAIZHAIQUANC
140,154,194,YHXYSJHZQA,银华信用四季红债券A,债券型,YINHUAXINYONGSIJIHONGZHAIQUANA
141,155,195,GYCZSYHHA,工银成长收益混合A,混合型,GONGYINCHENGZHANGSHOUYIHUNHEA
142,156,196,GYCZSYHHB,工银成长收益混合B,混合型,GONGYINCHENGZHANGSHOUYIHUNHEB
144,158,198,THYEBHB,天弘余额宝货币,货币型,TIANHONGYUEBAOHUOBI
145,159,199,GTLHCLSYHH,国泰量化策略收益混合,混合型,GUOTAILIANGHUACELUESHOUYIHUNHE
