,FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
0,005303,股票型,11.65%,17.40%,--,高风险,15.97亿元
1,006035,债券型,0.67%,--,--,中低风险,4.43亿元
2,005493,混合型,4.48%,-5.70%,--,中高风险,0.49亿元
3,005822,债券型,0.88%,5.41%,--,无,10.85亿元
4,006478,股票型,1.81%,--,--,高风险,0.54亿元
5,006109,混合型,4.24%,78.75%,--,中高风险,0.10亿元
6,005330,混合型,0.22%,5.95%,--,中高风险,1.44亿元
7,005304,股票型,11.58%,16.61%,--,高风险,1.03亿元
8,006223,混合型,5.17%,--,--,中高风险,1.32亿元
9,005494,混合型,4.44%,-6.15%,--,中高风险,0.01亿元
10,005772,债券型,0.51%,4.27%,--,无,52.53亿元
11,004953,债券型,2.39%,7.48%,--,中低风险,0.82亿元
12,006036,债券型,1.98%,--,--,中低风险,0.00亿元
13,006538,混合型,2.03%,--,--,中高风险,0.03亿元
14,501307,股票指数,-6.05%,-5.18%,--,高风险,0.80亿元
15,501047,股票指数,-2.39%,29.09%,--,高风险,1.30亿元
16,005799,混合型,-0.04%,1.12%,--,中高风险,0.10亿元
17,006652,混合型,-5.09%,--,--,中高风险,0.15亿元
18,006539,混合型,5.70%,--,--,中高风险,0.01亿元
19,005351,混合型,3.04%,8.23%,--,中高风险,4.77亿元
20,006160,混合型,-0.83%,18.64%,--,中高风险,3.06亿元
21,005547,债券型,0.67%,6.74%,--,无,11.99亿元
22,005121,债券型,-0.03%,5.40%,--,中风险,0.43亿元
23,006685,混合型,2.28%,--,--,中高风险,0.25亿元
24,005400,混合型,2.87%,33.57%,--,中高风险,2.15亿元
25,501308,股票指数,-6.07%,-5.38%,--,高风险,0.02亿元
26,501048,股票指数,-2.41%,30.08%,--,高风险,2.73亿元
27,006225,混合型,0.60%,--,--,中高风险,0.56亿元
28,005800,混合型,-0.11%,6.69%,--,中高风险,0.00亿元
29,673101,股票指数,-0.69%,--,--,高风险,0.02亿元
30,163417,混合型,0.81%,21.71%,--,中高风险,345.08亿元
31,001678,股票型,-3.26%,--,--,高风险,0.12亿元
32,006161,混合型,-0.87%,18.04%,--,中高风险,1.14亿元
33,005287,股票指数,4.54%,13.09%,--,高风险,0.06亿元
34,005401,混合型,2.84%,32.89%,--,中高风险,0.18亿元
35,002125,混合型,5.05%,8.35%,--,中高风险,2.33亿元
36,005362,债券型,0.34%,--,--,无,7.37亿元
37,006226,混合型,0.53%,--,--,中高风险,0.01亿元
38,005844,混合型,5.54%,4.56%,--,中高风险,0.84亿元
39,001520,股票型,1.87%,14.87%,--,高风险,0.54亿元
40,006128,混合型,3.47%,--,--,中高风险,0.12亿元
41,004459,债券型,-0.12%,4.50%,--,无,26.14亿元
42,005399,混合型,-1.50%,12.81%,--,中高风险,0.04亿元
43,005363,债券型,0.38%,--,--,无,0.00亿元
44,005288,股票指数,4.57%,13.40%,--,高风险,0.16亿元
45,004416,股票型,1.03%,9.10%,--,无,0.01亿元
46,004734,混合型,1.32%,12.66%,--,中高风险,3.07亿元
47,005864,债券型,0.37%,5.19%,--,中低风险,23.06亿元
48,006243,混合型,3.23%,--,--,中高风险,4.40亿元
49,005447,混合型,1.18%,4.10%,--,中高风险,0.22亿元
50,001835,混合型,0.80%,13.39%,--,无,2.84亿元
51,005933,混合型,-0.02%,--,--,无,1.92亿元
52,005955,混合型,3.88%,16.58%,--,无,6.38亿元
53,006165,股票指数,1.12%,--,--,高风险,0.33亿元
54,004735,混合型,1.25%,11.87%,--,中高风险,0.08亿元
55,005504,混合型,-4.75%,-7.86%,--,中高风险,24.88亿元
56,005934,混合型,-0.06%,--,--,无,0.10亿元
57,004726,混合型,3.77%,-6.60%,--,中高风险,0.01亿元
58,005904,混合型,5.16%,23.23%,--,中高风险,0.71亿元
59,501055,混合型,0.49%,-2.28%,--,中高风险,0.65亿元
60,006409,债券型,0.28%,--,--,无,38.09亿元
61,005956,混合型,3.80%,15.41%,--,无,0.11亿元
62,001836,混合型,0.80%,13.71%,--,无,0.81亿元
63,005526,混合型,4.19%,33.85%,--,中高风险,5.60亿元
64,005126,混合型,-1.16%,13.85%,--,中高风险,0.94亿元
65,006166,股票指数,1.10%,--,--,高风险,0.11亿元
66,006072,混合型,7.25%,--,--,中高风险,0.97亿元
67,005905,混合型,5.11%,22.43%,--,中高风险,0.10亿元
68,003442,债券型,0.75%,5.37%,--,无,69.66亿元
69,005545,混合型,3.37%,21.87%,--,中高风险,1.12亿元
70,004727,混合型,3.76%,-6.93%,--,中高风险,0.02亿元
71,004731,混合型,0.95%,6.00%,--,中高风险,1.53亿元
72,006080,股票型,10.01%,--,--,高风险,0.03亿元
73,006114,债券型,1.11%,8.63%,--,中风险,1.69亿元
74,006410,债券型,0.28%,--,--,无,0.00亿元
75,006267,混合型,0.73%,--,--,中高风险,0.15亿元
76,005550,混合型,0.71%,12.38%,--,中高风险,0.21亿元
77,005206,混合型,2.82%,25.04%,--,中高风险,0.05亿元
78,001660,混合型,0.00%,12.80%,--,中高风险,0.77亿元
79,004975,混合型,1.09%,4.90%,--,中高风险,3.14亿元
80,006081,股票型,10.12%,--,--,高风险,0.03亿元
81,006009,混合型,0.91%,10.00%,--,中高风险,0.38亿元
82,004732,混合型,0.95%,5.80%,--,中高风险,0.00亿元
83,005551,混合型,0.64%,11.48%,--,中高风险,0.13亿元
84,006268,混合型,0.71%,--,--,中高风险,0.19亿元
85,006115,债券型,1.08%,8.43%,--,中风险,0.03亿元
86,005271,债券型,0.40%,--,--,中风险,0.33亿元
87,006453,债券型,0.35%,--,--,无,1.11亿元
88,006010,混合型,0.89%,9.60%,--,中高风险,0.10亿元
89,005010,债券型,0.29%,3.89%,--,中低风险,27.37亿元
90,005373,混合型,0.84%,3.58%,--,中高风险,0.36亿元
91,005207,混合型,3.71%,15.76%,--,中高风险,0.02亿元
92,005692,股票型,-2.34%,1.58%,--,无,0.00亿元
93,006454,债券型,0.33%,--,--,无,0.00亿元
94,004812,股票型,0.05%,17.69%,--,高风险,0.15亿元
95,005726,混合型,8.74%,25.53%,--,中高风险,1.00亿元
96,006325,债券型,0.65%,--,--,无,10.46亿元
97,006583,债券型,0.54%,--,--,中低风险,1.82亿元
98,005011,债券型,0.27%,3.48%,--,中低风险,16.52亿元
99,004687,混合型,1.15%,6.61%,--,中高风险,1.94亿元
100,005374,混合型,0.81%,3.25%,--,中高风险,0.14亿元
101,005211,混合型,4.43%,22.75%,--,中高风险,2.35亿元
102,006057,债券型,2.98%,9.38%,--,无,0.01亿元
103,005272,债券型,0.37%,--,--,中风险,0.17亿元
104,006584,债券型,0.50%,--,--,中低风险,0.00亿元
105,004813,股票型,0.04%,18.35%,--,高风险,0.02亿元
106,004688,混合型,1.13%,6.51%,--,中高风险,1.97亿元
107,005910,混合型,4.86%,29.08%,--,中高风险,1.16亿元
108,005541,混合型,4.28%,37.91%,--,中高风险,0.04亿元
109,005033,股票型,-3.42%,2.65%,--,高风险,0.10亿元
110,004788,股票指数,5.88%,8.05%,--,高风险,0.00亿元
111,005833,混合型,-1.93%,--,--,中高风险,0.04亿元
112,005752,债券型,0.59%,--,--,无,10.57亿元
113,005120,混合型,-0.03%,18.96%,--,中高风险,3.02亿元
114,006113,混合型,9.37%,47.63%,--,中高风险,24.67亿元
115,004893,债券型,0.09%,3.75%,--,中低风险,0.42亿元
116,005270,混合型,5.70%,12.39%,--,中高风险,1.33亿元
117,005834,混合型,-1.97%,--,--,中高风险,0.08亿元
118,005067,混合型,2.64%,19.91%,--,中高风险,1.65亿元
119,005034,股票型,-3.43%,2.82%,--,高风险,0.04亿元
120,005542,混合型,4.27%,37.75%,--,中高风险,0.50亿元
121,006341,股票指数,3.67%,--,--,高风险,0.31亿元
122,005104,混合型,0.81%,-7.73%,--,中高风险,0.30亿元
123,005853,债券型,0.49%,--,--,无,5.09亿元
124,005127,债券型,0.76%,6.23%,--,无,31.47亿元
125,006030,债券型,0.06%,--,--,中高风险,1.14亿元
126,005279,股票指数,-2.32%,7.94%,--,高风险,0.89亿元
127,006210,债券型,0.40%,278.69%,--,无,20.05亿元
128,005175,混合型,6.02%,21.74%,--,中高风险,2.04亿元
129,004894,债券型,0.08%,4.62%,--,中低风险,0.41亿元
130,005596,混合型,2.64%,30.78%,--,中高风险,1.43亿元
131,005035,股票型,2.18%,9.23%,--,高风险,0.14亿元
132,006342,股票指数,3.65%,--,--,高风险,0.09亿元
133,006031,债券型,0.02%,--,--,中高风险,0.10亿元
134,006237,债券型,0.42%,--,--,无,10.23亿元
135,005597,混合型,2.56%,30.25%,--,中高风险,0.07亿元
136,005167,混合型,0.27%,3.88%,--,中高风险,4.10亿元
137,005277,债券型,0.60%,6.33%,--,无,10.64亿元
138,006211,债券型,0.39%,7.56%,--,无,0.01亿元
139,005338,债券型,0.84%,6.21%,--,无,20.94亿元
140,501051,混合型,1.51%,23.49%,--,中高风险,10.16亿元
141,005036,股票型,2.18%,9.31%,--,高风险,0.08亿元
142,006422,债券型,0.98%,--,--,中低风险,7.72亿元
143,006034,股票指数,-0.44%,--,--,高风险,0.75亿元
144,005252,混合型,-0.09%,5.16%,--,中高风险,0.28亿元
145,005429,混合型,1.16%,4.61%,--,中高风险,0.14亿元
146,006367,债券型,0.33%,--,--,无,32.15亿元
147,167705,股票型,1.88%,4.80%,--,高风险,0.71亿元
148,006423,债券型,0.96%,--,--,中低风险,0.44亿元
149,005379,混合型,4.32%,38.96%,--,中高风险,24.96亿元
150,160725,股票指数,-3.20%,7.93%,--,高风险,0.10亿元
151,005037,股票型,-2.96%,10.35%,--,高风险,0.26亿元
152,004852,混合型,0.38%,3.93%,--,中高风险,0.59亿元
153,005430,混合型,1.12%,3.97%,--,中高风险,0.01亿元
154,006140,债券型,1.26%,--,--,中风险,0.59亿元
155,006515,债券型,0.45%,--,--,中低风险,3.56亿元
156,005345,债券型,0.66%,6.12%,--,中低风险,1.42亿元
157,005393,债券型,0.52%,5.58%,--,无,84.30亿元
158,167706,股票型,1.86%,4.50%,--,高风险,0.42亿元
159,006368,债券型,0.00%,--,--,无,0.00亿元
160,005894,股票型,6.91%,17.47%,--,高风险,1.18亿元
161,005620,股票型,1.13%,31.25%,--,高风险,0.81亿元
162,006516,债券型,0.47%,--,--,中低风险,4.34亿元
163,006141,债券型,1.23%,--,--,中风险,0.06亿元
164,005038,股票型,-2.98%,9.85%,--,高风险,0.22亿元
165,005346,债券型,0.64%,5.90%,--,中低风险,1.04亿元
166,005453,混合型,8.42%,23.56%,--,中高风险,0.75亿元
167,004853,混合型,0.34%,3.43%,--,中高风险,0.22亿元
168,006542,债券型,0.50%,--,--,无,16.15亿元
169,005173,债券型,0.55%,3.97%,--,中风险,0.02亿元
170,005621,股票型,1.04%,30.85%,--,高风险,0.30亿元
171,002155,混合型,0.36%,18.55%,--,无,1.08亿元
172,006543,债券型,0.47%,--,--,无,0.00亿元
173,006190,混合型,-0.61%,2.70%,--,中高风险,0.00亿元
174,006154,混合型,10.29%,--,--,中高风险,0.90亿元
175,671030,股票型,0.16%,--,--,高风险,0.96亿元
176,005454,混合型,8.41%,23.44%,--,中高风险,0.27亿元
177,004913,混合型,1.25%,3.99%,--,中高风险,0.34亿元
178,005174,债券型,2.84%,5.24%,--,中风险,0.00亿元
179,004696,混合型,0.22%,5.23%,--,中高风险,0.90亿元
180,006550,债券型,0.18%,--,--,无,0.61亿元
181,005474,混合型,3.13%,18.53%,--,中高风险,5.31亿元
182,006377,混合型,-2.21%,--,--,中高风险,0.14亿元
183,005588,混合型,0.81%,1.07%,--,中高风险,0.50亿元
184,006470,债券型,1.38%,--,--,无,1.79亿元
185,004703,混合型,3.28%,21.08%,--,中高风险,3.07亿元
186,004914,混合型,1.25%,3.90%,--,中高风险,0.05亿元
187,006558,债券型,0.53%,--,--,无,31.31亿元
188,005364,债券型,0.61%,4.06%,--,无,8.28亿元
189,005475,混合型,3.12%,19.42%,--,无,0.00亿元
190,005635,股票型,1.21%,7.71%,--,高风险,0.35亿元
191,006419,混合型,1.48%,--,--,中高风险,0.28亿元
192,004926,混合型,-3.36%,-2.20%,--,中高风险,0.10亿元
193,004730,股票型,2.58%,12.19%,--,高风险,0.95亿元
194,006559,债券型,0.66%,--,--,无,0.00亿元
195,005592,混合型,0.80%,0.45%,--,中高风险,8.42亿元
196,005521,混合型,-0.49%,14.72%,--,中高风险,44.90亿元
197,005922,债券型,1.15%,6.36%,--,中低风险,1.72亿元
198,005186,混合型,2.38%,16.57%,--,中高风险,1.26亿元
199,005791,债券型,0.47%,--,--,无,8.31亿元
200,004927,混合型,-3.38%,-2.46%,--,中高风险,0.15亿元
201,006674,债券型,0.43%,--,--,无,40.20亿元
202,006420,混合型,1.44%,--,--,中高风险,0.26亿元
203,005636,股票型,1.14%,6.85%,--,高风险,0.46亿元
204,005575,债券型,0.49%,5.11%,--,无,10.30亿元
205,005063,股票指数,-1.51%,11.68%,--,高风险,0.63亿元
206,005187,混合型,2.37%,16.36%,--,中高风险,0.11亿元
207,005166,混合型,0.66%,2.82%,--,无,3.47亿元
208,005967,混合型,1.96%,8.46%,--,中高风险,9.49亿元
209,005450,混合型,4.20%,28.44%,--,中高风险,39.18亿元
210,006517,债券型,0.33%,--,--,中低风险,20.69亿元
211,160726,混合型,5.91%,23.12%,--,中高风险,16.00亿元
212,006618,债券型,2.39%,--,--,中高风险,0.32亿元
213,005943,混合型,0.45%,--,--,中高风险,0.59亿元
214,005268,股票型,6.06%,28.52%,--,高风险,5.25亿元
215,005642,混合型,3.17%,23.71%,--,无,2.91亿元
216,005594,债券型,0.45%,4.73%,--,无,104.74亿元
217,005064,股票指数,-1.51%,11.75%,--,高风险,0.75亿元
218,001749,股票型,5.16%,12.75%,--,无,7.23亿元
219,005750,债券型,1.07%,8.32%,--,中风险,0.36亿元
220,005944,混合型,0.42%,--,--,中高风险,0.62亿元
221,006518,债券型,0.29%,--,--,中低风险,6.07亿元
222,005419,债券型,0.02%,-0.21%,--,无,0.00亿元
223,006619,债券型,2.35%,--,--,中高风险,0.39亿元
224,006136,混合型,6.98%,--,--,中高风险,0.45亿元
225,005643,混合型,3.11%,22.78%,--,中高风险,0.13亿元
226,005343,混合型,3.01%,6.70%,--,中高风险,0.02亿元
227,004750,混合型,1.56%,4.84%,--,无,2.55亿元
228,006086,债券型,0.43%,--,--,无,20.55亿元
229,005420,债券型,-0.02%,-0.77%,--,无,0.00亿元
230,002143,债券型,0.38%,6.67%,10.35%,无,108.44亿元
231,006412,债券型,0.45%,--,--,无,25.42亿元
232,005751,债券型,1.04%,7.89%,--,中风险,0.66亿元
233,005344,混合型,2.81%,6.66%,--,中高风险,1.00亿元
234,005194,货币型,0.22%,3.14%,--,无,47.44亿元
235,006638,债券型,0.54%,--,--,中低风险,1.61亿元
236,006405,债券型,0.70%,--,--,中低风险,1.03亿元
237,005593,混合型,4.05%,13.22%,--,中高风险,9.60亿元
238,004751,混合型,1.52%,3.75%,--,无,0.59亿元
239,006471,债券型,0.30%,--,--,无,0.00亿元
240,005144,债券型,0.30%,3.59%,--,中风险,10.08亿元
241,004475,混合型,-5.52%,4.23%,--,中高风险,4.01亿元
242,005571,混合型,0.13%,5.88%,--,中高风险,0.21亿元
243,004738,混合型,0.50%,6.80%,--,中高风险,2.35亿元
244,006016,债券型,0.70%,4.40%,--,无,20.20亿元
245,006406,债券型,0.65%,--,--,中低风险,0.00亿元
246,006639,债券型,0.51%,--,--,中低风险,0.04亿元
247,004809,混合型,0.08%,--,--,无,0.59亿元
248,005409,混合型,4.79%,9.13%,--,中高风险,8.34亿元
249,005145,债券型,0.26%,3.77%,--,中风险,0.01亿元
250,005682,混合型,10.38%,45.58%,--,中高风险,2.48亿元
251,004739,混合型,0.46%,6.49%,--,中高风险,0.01亿元
252,006040,债券型,0.67%,6.77%,--,无,14.58亿元
253,005572,混合型,0.09%,5.53%,--,中高风险,0.09亿元
254,004826,债券型,0.59%,3.39%,--,中低风险,27.91亿元
255,005935,混合型,0.03%,--,--,无,0.00亿元
256,006541,混合型,0.36%,--,--,中高风险,0.43亿元
257,004637,债券型,0.35%,3.78%,--,无,2.04亿元
258,006668,债券型,0.53%,--,--,中低风险,2.72亿元
259,001573,混合型,4.90%,9.96%,--,中高风险,0.94亿元
260,005004,混合型,1.95%,11.55%,--,中高风险,13.47亿元
261,005711,混合型,1.71%,41.38%,--,中高风险,12.61亿元
262,006076,债券型,0.31%,4.83%,--,中低风险,11.04亿元
263,005795,股票指数,3.22%,10.18%,--,高风险,0.54亿元
264,005024,债券型,0.75%,6.84%,--,无,30.50亿元
265,005078,债券型,0.15%,9.29%,--,中风险,0.33亿元
266,006025,混合型,1.94%,--,--,中高风险,0.09亿元
267,004638,债券型,0.50%,--,--,无,0.00亿元
268,006116,债券型,0.31%,--,--,无,9.29亿元
269,001738,混合型,1.50%,5.14%,--,中高风险,2.05亿元
270,005093,债券型,1.11%,7.03%,--,无,3.63亿元
271,005777,股票型,5.40%,20.42%,--,高风险,9.23亿元
272,006669,债券型,0.50%,--,--,中低风险,16.48亿元
273,006077,债券型,0.30%,4.50%,--,中低风险,13.52亿元
274,006099,债券型,0.41%,--,--,无,10.36亿元
275,004861,货币型,0.19%,2.62%,--,低风险,0.39亿元
276,005188,股票型,2.02%,14.19%,--,高风险,0.02亿元
277,005001,混合型,4.86%,18.46%,--,中高风险,17.59亿元
278,002713,混合型,-0.40%,-13.94%,--,无,0.69亿元
279,005569,股票型,-0.76%,11.56%,--,高风险,1.26亿元
280,005949,混合型,-0.87%,1.63%,--,无,0.39亿元
281,006138,股票型,1.58%,--,--,高风险,0.19亿元
282,006181,混合型,-1.39%,--,--,中高风险,0.00亿元
283,005072,债券型,0.67%,7.77%,--,无,20.52亿元
284,005134,货币型,0.22%,2.80%,--,低风险,32.29亿元
285,006090,债券型,0.39%,4.13%,--,中风险,1.54亿元
286,005189,股票型,2.05%,12.13%,--,高风险,0.57亿元
287,006683,债券型,0.34%,--,--,无,0.00亿元
288,005366,债券型,0.40%,4.90%,--,中低风险,21.64亿元
289,005570,股票型,-0.75%,11.33%,--,高风险,0.06亿元
290,005897,债券型,0.52%,--,--,无,10.48亿元
291,006011,债券型,0.63%,2.86%,--,中低风险,7.95亿元
292,005226,混合型,3.01%,-7.92%,--,中高风险,1.03亿元
293,005358,混合型,-0.59%,12.40%,--,中高风险,9.93亿元
294,005367,债券型,0.39%,5.02%,--,中低风险,0.00亿元
295,006091,债券型,0.37%,3.84%,--,中风险,1.52亿元
296,005150,货币型,0.20%,2.90%,--,低风险,1.20亿元
297,006182,混合型,-1.40%,--,--,中高风险,0.01亿元
298,006216,混合型,4.28%,--,--,中高风险,2.27亿元
299,006727,债券指数,0.54%,--,--,中低风险,30.46亿元
300,005677,债券型,0.49%,4.05%,--,无,17.01亿元
301,005294,混合型,0.12%,2.00%,--,中高风险,1.60亿元
302,003032,混合型,5.68%,15.57%,--,中高风险,0.66亿元
303,006012,债券型,0.63%,2.75%,--,中低风险,1.23亿元
304,006217,混合型,4.27%,--,--,中高风险,1.75亿元
305,005359,混合型,-0.63%,11.84%,--,中高风险,7.32亿元
306,006385,混合型,0.69%,--,--,中高风险,0.91亿元
307,004829,混合型,1.61%,16.74%,--,中高风险,2.17亿元
308,006222,债券型,0.46%,5.23%,--,无,10.07亿元
309,006728,债券指数,0.53%,--,--,中低风险,0.01亿元
310,004881,混合型,0.54%,13.38%,--,中高风险,1.55亿元
311,005481,混合型,2.88%,28.92%,--,中高风险,15.00亿元
312,161039,股票指数,-0.50%,10.02%,--,高风险,0.91亿元
313,005778,债券型,0.51%,5.11%,--,无,33.53亿元
314,001819,债券型,0.60%,6.60%,17.05%,无,107.86亿元
315,006224,债券指数,0.54%,--,--,中低风险,41.07亿元
316,006386,混合型,0.64%,--,--,中高风险,0.01亿元
317,005579,债券型,0.89%,4.39%,--,中风险,0.96亿元
318,006767,债券型,0.14%,--,--,无,1.01亿元
319,005073,债券型,0.73%,5.26%,--,无,30.64亿元
320,005434,混合型,3.15%,17.07%,--,中高风险,1.38亿元
321,005499,混合型,0.05%,11.44%,--,中高风险,0.65亿元
322,005018,混合型,0.14%,3.00%,--,中高风险,0.31亿元
323,006240,混合型,9.87%,--,--,中高风险,0.02亿元
324,162416,股票指数,-8.76%,-3.97%,--,高风险,0.30亿元
325,001832,混合型,5.90%,43.33%,--,中高风险,2.51亿元
326,006164,债券型,0.68%,--,--,无,4.25亿元
327,005580,债券型,0.49%,3.61%,--,中风险,1.80亿元
328,006572,债券型,0.65%,--,--,中低风险,2.00亿元
329,005552,混合型,0.30%,2.77%,--,中高风险,0.01亿元
330,005523,混合型,0.70%,6.90%,--,中高风险,1.56亿元
331,005074,债券型,0.72%,5.10%,--,无,0.00亿元
332,006772,债券型,0.41%,--,--,无,43.32亿元
333,005075,混合型,1.28%,17.93%,--,中高风险,1.71亿元
334,004956,债券型,0.41%,4.09%,--,中低风险,24.45亿元
335,006299,混合型,-2.09%,--,--,中高风险,0.50亿元
336,004652,混合型,0.38%,16.81%,--,中高风险,0.84亿元
337,005994,股票指数,1.87%,23.11%,--,高风险,1.29亿元
338,005553,混合型,0.28%,2.71%,--,中高风险,1.99亿元
339,005707,股票型,-5.96%,-5.45%,--,高风险,0.66亿元
340,006241,混合型,9.81%,--,--,中高风险,0.01亿元
341,004957,债券型,0.42%,3.89%,--,中低风险,0.06亿元
342,005148,货币型,0.21%,3.00%,--,低风险,2.10亿元
343,006408,混合型,4.69%,--,--,中高风险,0.75亿元
344,005146,混合型,0.25%,-4.01%,--,中高风险,0.84亿元
345,004350,股票型,4.16%,--,--,高风险,1.44亿元
346,005631,债券型,0.67%,5.92%,--,无,51.41亿元
347,004653,混合型,0.33%,16.27%,--,中高风险,0.71亿元
348,005741,混合型,2.40%,18.30%,--,中高风险,1.49亿元
349,006002,股票型,7.52%,41.01%,--,高风险,1.23亿元
350,006382,股票型,0.74%,--,--,无,16.70亿元
351,005498,混合型,3.45%,19.20%,--,中高风险,5.24亿元
352,006578,股票指数,-6.73%,--,--,高风险,0.19亿元
353,002649,混合型,6.68%,21.29%,--,无,1.03亿元
354,005158,债券型,0.49%,4.69%,--,无,61.98亿元
355,004484,股票型,-0.03%,20.87%,--,高风险,0.76亿元
356,004840,混合型,2.38%,--,--,中高风险,0.02亿元
357,004882,债券型,0.58%,5.57%,--,无,104.62亿元
358,006389,债券型,0.42%,--,--,中低风险,4.43亿元
359,006003,股票型,7.46%,39.86%,--,高风险,0.60亿元
360,006579,股票指数,-6.75%,--,--,高风险,0.07亿元
361,004668,混合型,-1.58%,1.77%,--,中高风险,0.00亿元
362,006047,债券型,0.32%,5.57%,--,无,0.00亿元
363,005609,混合型,3.16%,15.28%,--,中高风险,2.27亿元
364,005840,混合型,4.27%,--,--,中高风险,0.17亿元
365,005082,混合型,-1.29%,-10.04%,--,中高风险,0.00亿元
366,501305,股票指数,-7.18%,-12.29%,--,高风险,0.78亿元
367,004485,股票型,-0.05%,20.42%,--,高风险,0.58亿元
368,006390,债券型,0.40%,--,--,中低风险,2.82亿元
369,005083,混合型,-1.29%,-10.03%,--,中高风险,0.01亿元
370,004669,混合型,-1.65%,1.41%,--,中高风险,1.26亿元
371,005611,债券型,0.89%,7.48%,--,无,3.20亿元
372,005847,混合型,-1.34%,10.78%,--,中高风险,1.63亿元
373,005937,混合型,-2.71%,--,--,中高风险,0.10亿元
374,005781,债券型,0.45%,3.99%,--,无,47.70亿元
375,004686,股票型,0.50%,15.52%,--,高风险,6.15亿元
376,005335,混合型,2.15%,14.46%,--,中高风险,3.57亿元
377,006758,债券型,0.53%,--,--,无,13.06亿元
378,003269,债券型,0.77%,5.04%,--,无,42.16亿元
379,004760,混合型,0.40%,6.98%,--,无,2.55亿元
380,501306,股票指数,-7.21%,-12.62%,--,高风险,0.26亿元
381,006007,混合型,5.51%,34.50%,--,中高风险,0.34亿元
382,005264,混合型,0.80%,32.73%,--,中高风险,0.08亿元
383,006424,混合型,3.55%,--,--,中高风险,0.28亿元
384,006395,股票型,-2.92%,--,--,无,0.01亿元
385,005938,混合型,-2.75%,--,--,中高风险,0.02亿元
386,005388,债券型,0.53%,4.11%,--,无,15.37亿元
387,004895,混合型,3.91%,-1.46%,--,中高风险,1.22亿元
388,001857,混合型,5.27%,35.18%,--,中高风险,13.95亿元
389,004761,混合型,0.38%,6.86%,--,无,0.00亿元
390,003270,债券型,0.76%,4.98%,--,无,0.00亿元
391,006323,混合型,2.08%,--,--,中高风险,0.34亿元
392,005780,债券型,0.90%,8.72%,--,无,6.36亿元
393,006425,混合型,3.48%,--,--,中高风险,0.49亿元
394,006324,混合型,2.04%,--,--,中高风险,0.63亿元
395,000521,债券型,0.32%,4.42%,--,无,2.42亿元
396,004946,混合型,2.32%,14.47%,--,中高风险,0.59亿元
397,004792,债券型,0.57%,-1.53%,--,中风险,29.90亿元
398,006008,混合型,5.48%,35.17%,--,中高风险,0.02亿元
399,005939,混合型,-1.58%,--,--,中高风险,0.17亿元
400,005109,混合型,1.27%,25.67%,--,中高风险,1.50亿元
401,003450,债券型,0.65%,5.29%,--,无,30.91亿元
402,004981,债券型,0.31%,--,--,中低风险,2.49亿元
403,006149,债券型,0.51%,--,--,无,15.04亿元
404,005815,混合型,6.37%,29.79%,--,中高风险,1.22亿元
405,005940,混合型,-1.60%,--,--,中高风险,0.14亿元
406,005339,股票指数,-0.75%,11.61%,--,高风险,0.68亿元
407,004612,混合型,0.37%,3.83%,--,中高风险,2.25亿元
408,005110,混合型,1.24%,25.15%,--,中高风险,1.37亿元
409,004793,债券型,0.56%,-1.62%,--,中风险,0.05亿元
410,004800,债券型,0.53%,4.15%,--,无,49.73亿元
411,006157,混合型,0.50%,--,--,中高风险,1.39亿元
412,004947,混合型,2.28%,14.02%,--,中高风险,0.06亿元
413,006193,股票型,2.69%,--,--,高风险,0.13亿元
414,005559,债券型,0.06%,4.35%,--,中风险,1.02亿元
415,005265,混合型,6.70%,13.63%,--,中高风险,1.46亿元
416,005298,债券型,0.41%,--,--,中风险,0.98亿元
417,005821,混合型,-3.16%,12.39%,--,中高风险,0.79亿元
418,005293,混合型,-0.44%,3.47%,--,中高风险,1.39亿元
419,005246,债券型,3.25%,11.05%,--,中高风险,0.36亿元
420,006070,债券型,0.40%,--,--,无,20.24亿元
421,004613,混合型,0.34%,3.45%,--,中高风险,0.01亿元
422,006194,股票型,2.68%,--,--,高风险,0.01亿元
423,005725,债券型,0.68%,--,--,中低风险,11.86亿元
424,004972,货币型,0.24%,3.12%,--,低风险,36.80亿元
425,005295,混合型,0.08%,7.68%,--,中高风险,1.36亿元
426,005560,债券型,0.01%,3.87%,--,中风险,0.23亿元
427,005266,混合型,6.61%,12.72%,--,中高风险,0.44亿元
428,006134,债券型,0.83%,--,--,无,13.80亿元
429,006551,混合型,2.71%,--,--,中高风险,28.45亿元
430,005414,股票指数,-0.32%,10.04%,--,高风险,0.06亿元
431,005870,股票指数,-0.33%,9.26%,--,高风险,0.26亿元
432,005311,混合型,-1.66%,12.93%,--,中高风险,0.01亿元
433,006319,债券型,0.38%,--,--,中低风险,9.55亿元
434,004986,混合型,5.50%,29.43%,--,中高风险,14.02亿元
435,005312,混合型,-1.83%,11.16%,--,中高风险,0.05亿元
436,005520,混合型,7.86%,20.83%,--,中高风险,3.94亿元
437,005599,混合型,-1.26%,6.20%,--,中高风险,0.79亿元
438,006553,债券型,0.65%,--,--,中低风险,2.35亿元
439,005159,债券型,0.89%,11.58%,--,中低风险,8.16亿元
440,006183,债券型,0.47%,--,--,无,45.78亿元
441,005415,股票指数,-0.36%,9.52%,--,高风险,0.05亿元
442,006653,债券型,0.59%,--,--,无,20.35亿元
443,005972,债券型,0.36%,5.21%,--,无,37.27亿元
