,FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
3149,001017,混合型,0.60%,16.64%,9.00%,中高风险,4.04亿元
3150,001641,混合型,2.31%,11.78%,18.53%,中低风险,2.28亿元
3151,001167,股票型,5.81%,4.96%,-5.75%,高风险,5.15亿元
3152,001298,混合型,-0.44%,17.42%,11.57%,中高风险,0.85亿元
3153,002487,债券型,0.85%,4.90%,3.58%,无,0.53亿元
3154,001027,股票指数,2.74%,35.11%,13.96%,高风险,1.18亿元
3155,001558,混合型,14.03%,19.92%,34.94%,中高风险,0.40亿元
3156,001964,债券型,0.99%,5.73%,7.87%,无,0.72亿元
3157,000778,股票型,2.48%,22.84%,18.88%,高风险,3.68亿元
3158,002292,混合型,-2.32%,10.57%,8.08%,中高风险,1.21亿元
3159,001184,混合型,4.05%,7.03%,-29.98%,中高风险,25.50亿元
3160,002488,债券型,0.76%,4.45%,2.42%,无,0.00亿元
3161,001723,混合型,0.34%,3.32%,-41.08%,中高风险,0.33亿元
3162,002650,债券型,0.65%,6.74%,12.11%,中低风险,10.49亿元
3163,001014,混合型,0.91%,-2.34%,-7.41%,中高风险,0.01亿元
3164,001359,混合型,4.49%,17.95%,9.70%,中高风险,0.20亿元
3165,001559,混合型,13.99%,19.44%,33.64%,中高风险,0.75亿元
3166,001249,混合型,0.93%,9.64%,25.22%,无,3.37亿元
3167,001976,债券型,0.95%,6.81%,7.59%,无,0.03亿元
3168,002520,债券型,0.63%,5.78%,15.06%,无,31.13亿元
3169,000801,债券型,0.45%,4.96%,10.57%,中低风险,0.98亿元
3170,002351,债券型,2.37%,16.11%,25.92%,无,5.67亿元
3171,001018,混合型,6.78%,19.12%,36.38%,中高风险,19.86亿元
3172,161029,股票指数,-4.56%,12.39%,19.76%,高风险,5.22亿元
3173,001578,债券型,0.27%,8.63%,15.85%,中低风险,3.64亿元
3174,001812,货币型,0.20%,2.77%,10.16%,低风险,1.45亿元
3175,002754,债券型,0.78%,6.61%,14.04%,中低风险,10.09亿元
3176,001987,货币型,0.19%,2.78%,10.77%,低风险,5.15亿元
3177,519755,混合型,0.46%,10.10%,25.17%,中高风险,2.60亿元
3178,001075,混合型,3.77%,3.60%,-12.45%,中高风险,16.16亿元
3179,001917,股票型,0.42%,13.61%,-6.11%,高风险,0.43亿元
3180,000802,债券型,0.37%,4.46%,9.14%,中低风险,0.14亿元
3181,001036,股票型,3.59%,21.08%,8.01%,高风险,11.80亿元
3182,001073,混合型,1.34%,5.24%,13.17%,中低风险,3.01亿元
3183,673050,混合型,1.79%,2.56%,6.61%,中高风险,0.11亿元
3184,002025,混合型,0.96%,6.39%,17.87%,无,3.81亿元
3185,519610,混合型,0.27%,6.89%,10.85%,中高风险,0.01亿元
3186,001709,混合型,2.78%,4.44%,-3.18%,中高风险,0.15亿元
3187,001163,股票型,0.98%,23.39%,27.43%,高风险,6.64亿元
3188,001294,混合型,3.28%,-2.92%,-32.12%,中高风险,1.50亿元
3189,000862,货币型,0.18%,2.57%,9.59%,无,7.47亿元
3190,673020,混合型,2.82%,6.10%,17.11%,中高风险,1.22亿元
3191,001975,股票型,5.25%,19.42%,47.03%,高风险,9.67亿元
3192,000965,混合型,6.61%,14.60%,-3.27%,中高风险,2.47亿元
3193,001741,混合型,-4.33%,0.00%,-5.11%,中高风险,0.15亿元
3194,002026,混合型,0.92%,6.73%,18.72%,无,0.25亿元
3195,002152,混合型,6.92%,13.36%,15.64%,中高风险,0.55亿元
3196,519611,混合型,0.37%,6.27%,9.31%,中高风险,0.00亿元
3197,001324,混合型,0.77%,10.35%,17.50%,中高风险,4.03亿元
3198,000863,货币型,0.21%,2.38%,8.23%,无,0.00亿元
3199,001179,混合型,0.60%,14.04%,46.87%,中高风险,3.87亿元
3200,001403,混合型,5.28%,8.06%,-4.97%,中高风险,6.58亿元
3201,002280,债券型,1.11%,11.31%,12.24%,中风险,0.52亿元
3202,002229,股票型,1.15%,4.87%,30.57%,高风险,15.81亿元
3203,001742,混合型,-4.23%,0.11%,-5.11%,中高风险,0.37亿元
3204,000966,混合型,1.43%,7.20%,-4.65%,中高风险,1.84亿元
3205,001379,混合型,0.29%,7.18%,21.67%,中高风险,0.09亿元
3206,519612,混合型,0.28%,6.47%,10.19%,无,7.92亿元
3207,002166,混合型,1.20%,17.68%,17.68%,无,0.05亿元
3208,501002,混合型,-0.53%,28.00%,-26.01%,中高风险,1.31亿元
3209,000757,混合型,5.17%,1.88%,-23.37%,中高风险,0.75亿元
3210,001421,股票型,-0.32%,1.28%,-24.16%,高风险,4.65亿元
3211,001209,混合型,5.75%,15.16%,-13.06%,中高风险,1.84亿元
3212,002415,混合型,0.98%,14.93%,21.15%,中高风险,1.26亿元
3213,000327,混合型,-0.54%,21.47%,27.94%,中高风险,2.30亿元
3214,519969,混合型,0.53%,13.75%,26.17%,中高风险,3.45亿元
3215,002076,股票指数,1.51%,1.09%,-12.22%,高风险,0.51亿元
3216,001679,混合型,6.41%,58.12%,27.34%,中高风险,5.52亿元
3217,002162,混合型,-2.09%,-2.19%,2.37%,无,0.01亿元
3218,501005,股票指数,8.63%,11.24%,-8.69%,高风险,3.35亿元
3219,001445,混合型,1.75%,39.34%,50.00%,中高风险,3.36亿元
3220,000826,股票指数,6.62%,17.89%,7.52%,高风险,2.30亿元
3221,001250,混合型,1.97%,7.03%,11.95%,中高风险,2.80亿元
3222,002211,混合型,-0.53%,5.33%,14.05%,无,0.55亿元
3223,001004,混合型,0.97%,15.78%,21.63%,中高风险,3.26亿元
3224,000913,股票型,14.65%,29.32%,28.64%,高风险,15.89亿元
3225,001800,混合型,3.01%,12.65%,23.56%,中高风险,1.38亿元
3226,002163,混合型,0.27%,-2.20%,94.69%,中高风险,32.08亿元
3227,002342,债券型,0.46%,8.92%,18.00%,无,4.84亿元
3228,160632,股票指数,5.34%,42.09%,107.11%,高风险,5.91亿元
3229,001457,混合型,5.49%,15.14%,-22.35%,中高风险,1.93亿元
3230,000986,混合型,2.61%,4.42%,0.00%,中高风险,14.66亿元
3231,501006,股票指数,8.60%,10.93%,-9.67%,高风险,0.92亿元
3232,002212,混合型,-0.03%,4.83%,13.72%,无,2.44亿元
3233,000827,股票指数,6.63%,17.93%,7.54%,高风险,3.82亿元
3234,001182,混合型,3.71%,22.73%,44.82%,无,5.68亿元
3235,002344,债券型,0.46%,8.60%,8.60%,无,5.00亿元
3236,001125,混合型,4.04%,13.90%,12.83%,中高风险,12.65亿元
3237,519177,混合型,4.19%,15.82%,29.88%,中高风险,0.01亿元
3238,001702,混合型,7.34%,15.97%,-8.17%,中高风险,0.55亿元
3239,001471,混合型,4.40%,3.77%,9.85%,中高风险,10.85亿元
3240,000997,债券型,0.45%,6.74%,3.26%,中低风险,0.72亿元
3241,519176,混合型,5.81%,21.42%,2.06%,中高风险,0.00亿元
3242,001210,混合型,10.34%,25.06%,18.00%,中高风险,7.29亿元
3243,001158,股票型,-1.34%,8.14%,-13.54%,高风险,18.64亿元
