,基金规模,类型,近1年收益,近1月收益,近3年收益,风险等级
0,-0.05804017330552322,-2.035092846155401,0.6559018213367491,0.9633281134383556,,-0.4906285516882893
1,-0.06450292477738141,-1.9355856723331275,0.5797492553444739,0.4898870915969147,,
2,-0.06209620772328241,-1.9206657112408139,,0.7016063086092901,,-0.4561730049948391
3,-0.048777275179359335,-1.9350200480250432,0.7374053513078825,0.7806434665365837,,-0.4604952885309224
4,-0.06794205866479221,-2.0350928461554005,0.06644860486959407,0.11539547957870505,,
5,-0.05684265935891793,-1.932212643342456,0.8914583858155466,0.6978152615212169,,-0.45964994128701503
6,-0.06885103991741238,-1.8287977588532127,0.980886364515762,0.43968042265672597,,
7,-0.052506124667450756,-1.9317445824910158,0.6922567070601063,0.8835558648124906,,
8,-0.06240708375011084,-1.7021993587507473,0.6919379988797769,0.4054842670771239,,
9,-0.06369374678687037,-1.9239558953945353,0.4055350390335055,0.15041179353261375,,
10,-0.07136629417192301,-2.035092846155401,1.0030410850414908,0.9733401891797884,,-0.4906285516882892
11,-0.0634348519896003,-1.7255792815812965,0.5323795335010851,0.8971031996982171,,
12,-0.07087172985694869,-1.932590109561616,0.7866457916842134,0.9122813732504716,,
13,-0.049490563663661204,-2.0350928461554,0.6477829475601216,0.6223557334612372,,
14,-0.05670383201368097,-2.035092846155401,,-0.05952841823792088,,
15,-0.036349250280283456,-2.0350928461554,0.4767740682613375,0.36162850144097985,,
16,-0.059141898182328206,-1.8349892383892807,,1.1605411262165661,,-0.4303746686730423
17,-0.06674443475552924,-1.9363034990528345,0.6685829291550729,0.6870896711674741,,
18,-0.06539456217530701,-1.8299591208677854,0.7784496117945736,0.7892491640033387,,-0.42886003274979895
19,-0.06752532290775037,-1.9354436345976491,0.8087871270485736,0.6822904471617837,,-0.4606228361352739
20,-0.08124575721196219,-2.0350928461554005,0.7753263560790004,0.6681831249658383,,-0.4906285516882892
21,-0.07538735014774711,-1.836134238506089,0.6053421643728812,0.8013636607733367,,
22,-0.06683566236886392,-1.9359383977070266,,0.7364086949349368,,-0.4607718159505079
23,-0.06415858423171417,-1.8440106786250385,0.6698905154503899,0.716555644936828,,-0.43309114545555844
24,-0.043801526569560156,-1.9272411001683813,0.6203195442930333,1.1079144751305696,,-0.458152942886236
25,-0.051452283785377244,-1.936002250247491,0.4556884560637583,0.49190365694707505,,-0.4607910428077662
26,-0.051781790433254586,-1.9204539387881536,0.39539233276164243,0.8352361569154534,,-0.4561092374659531
27,-0.07659596913898215,-1.8123053491750098,0.8263135180490174,1.0163440115314706,,-0.4235442450624644
28,-0.04410284999169811,-1.9206789799148871,0.5536001010629718,0.36727852181568066,,-0.45617700037075615
29,-0.061459696577737935,-2.0350928461554005,,0.8097965143058763,,-0.49062855168828917
30,-0.06068399583704418,-2.0350928461554005,0.7249205901289867,0.5827008809625475,,
31,-0.07500411544676637,-1.8139784330516702,0.6053894906665843,1.0175700278311763,,
32,-0.03716323139154394,-1.7268717790646566,0.6729828350551958,0.5880404552906421,,-0.39781905001740175
33,-0.08103856431401436,-1.9421266409317415,,0.4387126217623958,,
34,-0.07098731311278263,-1.8420862880478335,0.6740971778106055,0.6404888031112864,,-0.43251168561468406
35,-0.07901128162912548,-1.929067574850871,0.840914177137422,0.8224615135484256,,
36,-0.07250775105712368,-1.9248104927344045,0.8243617467887241,0.6659455038341804,,-0.45742105435300195
37,-0.0525381371620923,-1.8279428533961712,0.49896978964037875,0.765715362939764,,-0.42825290754242107
38,-0.07022578190383147,-1.9287753215030243,0.8597888127957753,0.6941463314125935,,-0.4586149175295177
