,基金规模,类型,近1年收益,近1月收益,近3年收益,风险等级
0,-0.04301373065199945,-0.8962310519570945,-0.2346731983882882,-0.34566213082020825,0.0409614007525239,0.22435014608457712
1,-0.05773399612031674,-0.9690199039546235,-0.18033221177384612,0.07027837971870571,0.024632065875410652,0.5640653178101072
2,-0.05710680461949082,-1.1540057341497405,0.10855054575673184,0.11156934278931695,,
3,-0.06741413001116021,-1.1673084345678189,-0.4009677410679738,-0.5369834222402866,-0.22194780992540042,-0.23463096574996592
4,-0.05821599584392487,-1.072339970141349,-0.40584492443929054,-0.34013011703039026,-0.2020298412245092,
5,-0.04309896253216419,-1.0723399701413492,-0.587176258066181,-0.46890456336821507,,-0.056775056316875544
6,-0.018676334377479283,-0.9849740875097174,-0.4030851939578174,-0.11410457875561907,,
7,-0.10320465557356366,-0.5910784883352257,-0.0012183924650452788,-0.20096647275722546,-0.1267693846232403,
8,-0.041751095529485915,-1.0723399701413492,-0.4024989526246864,-0.44245336169636235,-0.07257385620196145,0.3836120823334564
9,-0.054087078188437394,-1.0723399701413492,-0.3412306630114959,-0.36683121378183037,0.00684644309295953,
10,-0.037661795519606675,-0.8946138362489262,0.07739960927206534,0.31701410683902664,,0.30744286092341283
11,-0.08398870359503816,-1.0723399701413492,-0.515591322007412,-0.5191596075843445,-0.11969232012887941,
12,-0.08191047738070414,-1.2075656727475348,-0.3514698407916589,-0.059958503928838,,-0.5789429757369223
13,-0.07237290057706978,-1.1795169909055223,-0.4067401576832086,-0.2354705539610752,-0.25154024770870764,0.6789734701232384
14,-0.06740107901755128,-0.8822778589416598,-0.33328923730967996,-0.26371322630108474,0.07067706868374163,0.11952819478715807
15,-0.08749766234242594,-0.9922866784588471,-0.3240215622552059,-0.2596663467392872,-0.04270007047380127,0.37812576338045434
16,-0.08059282229816842,-1.0723399701413492,-0.4619635146561376,-0.3898259934996877,-0.3119023524943688,
17,-0.00906473999826422,-1.0723399701413494,-0.5173098652512484,-0.5421092545827049,-0.209263137960612,0.27849243456328704
18,-0.09905673602808358,-1.0723399701413492,-0.6435396157470226,-0.5774002249236007,-0.3808227077007387,
19,-0.09099557112907593,-0.9106273014688658,-0.48049906176655693,-0.222051423450618,-0.29089673871124805,
20,-0.09764277475310833,-1.1800890801100832,-0.4556531241215056,-0.3659276976453789,-0.24763244950463364,0.18147444104286725
21,-0.05718370551949324,-1.3120856846822888,-0.15611728368990013,-0.04907319864389381,-0.06739570354369218,-0.16331990004771568
22,-0.0493312334434243,-1.0748350732863896,0.24426713274810147,0.5867838126945549,0.27920210767115816,0.3761516177059516
