,FundCode,类型
829,1352,混合型
830,1355,混合型
831,1356,混合型
832,1357,混合型
833,1358,混合型
834,1359,混合型
835,1362,混合型
836,1363,混合型
837,1364,混合型
838,1365,混合型
839,1366,混合型
841,1370,混合型
842,1371,混合型
843,1373,混合型
845,1375,混合型
846,1376,混合型
847,1379,混合型
848,1381,混合型
849,1382,混合型
850,1384,混合型
851,1385,混合型
853,1387,混合型
854,1388,混合型
856,1392,混合型
857,1393,混合型
859,1398,混合型
860,1399,混合型
861,1400,混合型
863,1402,混合型
864,1403,混合型
866,1405,混合型
867,1406,混合型
868,1407,混合型
869,1408,混合型
872,1411,混合型
873,1412,混合型
874,1413,混合型
875,1414,混合型
876,1415,混合型
878,1417,混合型
879,1419,混合型
881,1422,混合型
882,1423,混合型
883,1424,混合型
884,1425,混合型
885,1427,混合型
886,1428,混合型
887,1430,混合型
888,1433,混合型
889,1437,混合型
890,1438,混合型
891,1443,混合型
892,1444,混合型
893,1445,混合型
894,1446,混合型
895,1447,混合型
896,1448,混合型
897,1449,混合型
898,1457,混合型
899,1463,混合型
900,1464,混合型
901,1466,混合型
902,1467,混合型
903,1468,混合型
904,1470,混合型
905,1471,混合型
907,1474,混合型
908,1475,混合型
912,1479,混合型
913,1480,混合型
915,1484,混合型
916,1485,混合型
917,1487,混合型
918,1488,混合型
919,1489,混合型
921,1495,混合型
923,1498,混合型
924,1499,混合型
925,1500,混合型
926,1503,混合型
927,1504,混合型
928,1505,混合型
929,1506,混合型
930,1507,混合型
931,1508,混合型
932,1510,混合型
933,1511,混合型
934,1513,混合型
935,1515,混合型
936,1518,混合型
939,1522,混合型
940,1523,混合型
941,1524,混合型
946,1530,混合型
947,1531,混合型
948,1532,混合型
949,1534,混合型
950,1535,混合型
951,1536,混合型
952,1537,混合型
953,1538,混合型
954,1540,混合型
957,1547,混合型
958,1558,混合型
959,1559,混合型
960,1562,混合型
961,1563,混合型
962,1564,混合型
963,1566,混合型
964,1567,混合型
965,1569,混合型
966,1570,混合型
967,1571,混合型
968,1572,混合型
969,1573,混合型
970,1574,混合型
976,1580,混合型
977,1581,混合型
979,1584,混合型
980,1585,混合型
981,1596,混合型
982,1601,混合型
983,1602,混合型
984,1603,混合型
985,1604,混合型
987,1606,混合型
988,1607,混合型
989,1608,混合型
990,1609,混合型
991,1610,混合型
992,1613,混合型
993,1614,混合型
994,1615,混合型
996,1620,混合型
998,1623,混合型
1003,1633,混合型
1004,1634,混合型
1005,1635,混合型
1006,1636,混合型
1009,1641,混合型
1013,1648,混合型
1014,1650,混合型
1016,1654,混合型
1017,1656,混合型
1018,1657,混合型
1019,1659,混合型
1020,1660,混合型
1022,1662,混合型
1024,1664,混合型
1025,1665,混合型
1027,1667,混合型
1030,1675,混合型
1031,1676,混合型
1034,1679,混合型
1035,1681,混合型
1036,1682,混合型
1037,1683,混合型
1039,1686,混合型
1040,1687,混合型
1041,1688,混合型
1043,1694,混合型
1044,1695,混合型
1049,1701,混合型
1050,1702,混合型
1052,1704,混合型
1054,1706,混合型
1056,1708,混合型
1057,1709,混合型
1058,1710,混合型
1059,1711,混合型
1060,1712,混合型
1062,1715,混合型
1063,1716,混合型
1067,1720,混合型
1068,1721,混合型
1069,1722,混合型
1070,1723,混合型
1071,1724,混合型
1074,1727,混合型
1075,1728,混合型
1076,1729,混合型
1077,1730,混合型
1078,1731,混合型
1079,1732,混合型
1081,1734,混合型
1082,1735,混合型
1084,1738,混合型
1085,1739,混合型
1086,1740,混合型
1087,1741,混合型
1088,1742,混合型
1089,1743,混合型
1090,1744,混合型
1091,1745,混合型
1092,1746,混合型
1093,1747,混合型
1094,1748,混合型
1098,1753,混合型
1099,1755,混合型
1100,1756,混合型
1101,1758,混合型
1102,1759,混合型
1103,1760,混合型
1104,1761,混合型
1105,1762,混合型
1106,1763,混合型
1108,1765,混合型
1110,1769,混合型
1111,1770,混合型
1112,1771,混合型
1113,1772,混合型
1114,1773,混合型
1115,1774,混合型
1116,1775,混合型
1119,1780,混合型
1121,1782,混合型
1124,1789,混合型
1126,1791,混合型
1127,1792,混合型
1129,1795,混合型
1130,1796,混合型
1131,1797,混合型
1132,1798,混合型
1133,1799,混合型
1134,1800,混合型
1135,1801,混合型
1136,1802,混合型
1137,1803,混合型
1138,1806,混合型
1139,1807,混合型
1140,1808,混合型
1141,1809,混合型
1142,1810,混合型
1143,1811,混合型
1145,1815,混合型
1146,1816,混合型
1149,1822,混合型
1150,1823,混合型
1151,1824,混合型
1154,1827,混合型
1155,1829,混合型
1156,1830,混合型
1157,1834,混合型
1158,1837,混合型
1159,1838,混合型
1160,1839,混合型
1163,1844,混合型
1165,1850,混合型
1166,1852,混合型
1167,1856,混合型
1168,1857,混合型
1169,1858,混合型
1170,1861,混合型
1173,1864,混合型
1174,1865,混合型
1175,1866,混合型
1178,1869,混合型
1181,1874,混合型
1182,1875,混合型
1185,1880,混合型
1186,1881,混合型
1187,1882,混合型
1188,1883,混合型
1189,1884,混合型
1190,1885,混合型
1191,1886,混合型
1192,1887,混合型
1193,1888,混合型
1195,1890,混合型
1196,1891,混合型
1197,1892,混合型
1201,1897,混合型
1202,1898,混合型
1203,1900,混合型
1204,1901,混合型
1205,1902,混合型
1206,1903,混合型
1207,1904,混合型
1208,1905,混合型
1209,1907,混合型
1210,1908,混合型
1212,1910,混合型
1214,1914,混合型
1222,1922,混合型
1223,1924,混合型
1226,1927,混合型
1227,1928,混合型
1231,1932,混合型
1232,1933,混合型
1235,1939,混合型
1236,1940,混合型
1238,1942,混合型
1239,1943,混合型
1242,1947,混合型
1245,1951,混合型
1246,1954,混合型
1247,1955,混合型
1251,1959,混合型
1254,1965,混合型
1255,1966,混合型
1256,1967,混合型
1257,1970,混合型
1258,1972,混合型
1262,1978,混合型
1263,1979,混合型
1264,1980,混合型
1267,1983,混合型
1268,1985,混合型
1269,1986,混合型
1273,1990,混合型
1277,1997,混合型
1278,1998,混合型
1279,2000,混合型
1280,2001,混合型
1281,2003,混合型
1282,2004,混合型
1283,2005,混合型
1284,2006,混合型
1285,2009,混合型
1286,2010,混合型
1287,2011,混合型
1288,2015,混合型
1289,2016,混合型
1290,2017,混合型
1291,2018,混合型
1292,2019,混合型
1293,2020,混合型
1294,2021,混合型
1295,2023,混合型
1296,2024,混合型
1297,2025,混合型
1298,2026,混合型
1299,2027,混合型
1300,2028,混合型
1301,2029,混合型
1302,2030,混合型
1303,2031,混合型
1304,2035,混合型
1305,2036,混合型
1306,2043,混合型
1307,2046,混合型
1308,2049,混合型
1309,2051,混合型
1310,2052,混合型
1311,2053,混合型
1312,2054,混合型
1313,2055,混合型
1314,2056,混合型
1315,2057,混合型
1316,2058,混合型
1317,2059,混合型
1318,2060,混合型
1319,2061,混合型
1320,2062,混合型
1321,2064,混合型
1324,2067,混合型
1325,2068,混合型
1326,2071,混合型
1327,2072,混合型
1330,2075,混合型
1333,2079,混合型
1334,2080,混合型
1335,2082,混合型
1336,2083,混合型
1337,2084,混合型
1338,2085,混合型
1340,2087,混合型
1341,2088,混合型
1342,2091,混合型
1343,2095,混合型
1344,2096,混合型
1347,2103,混合型
1348,2106,混合型
1349,2111,混合型
1350,2112,混合型
1351,2116,混合型
1352,2117,混合型
1353,2118,混合型
1354,2119,混合型
1355,2120,混合型
1357,2123,混合型
1358,2124,混合型
1359,2125,混合型
1360,2132,混合型
1361,2133,混合型
1362,2135,混合型
1363,2136,混合型
1364,2137,混合型
1368,2141,混合型
1369,2142,混合型
1370,2144,混合型
1371,2145,混合型
1372,2146,混合型
1373,2147,混合型
1374,2148,混合型
1375,2149,混合型
1376,2152,混合型
1377,2155,混合型
1378,2156,混合型
1379,2157,混合型
1380,2158,混合型
1381,2159,混合型
1382,2160,混合型
1383,2161,混合型
1384,2162,混合型
1385,2163,混合型
1386,2164,混合型
1387,2165,混合型
1388,2166,混合型
1389,2167,混合型
1392,2170,混合型
1393,2172,混合型
1394,2173,混合型
1395,2174,混合型
1397,2177,混合型
1398,2178,混合型
1399,2179,混合型
1400,2180,混合型
1401,2181,混合型
1402,2182,混合型
1406,2186,混合型
1408,2189,混合型
1409,2190,混合型
1410,2191,混合型
1411,2192,混合型
1412,2194,混合型
1414,2196,混合型
1415,2197,混合型
1421,2207,混合型
1423,2211,混合型
1424,2212,混合型
1425,2213,混合型
1426,2214,混合型
1427,2216,混合型
1428,2217,混合型
1429,2220,混合型
1430,2222,混合型
1431,2224,混合型
1432,2227,混合型
1433,2228,混合型
1435,2231,混合型
1436,2232,混合型
1437,2233,混合型
1441,2244,混合型
1446,2249,混合型
1447,2251,混合型
1448,2252,混合型
1449,2256,混合型
1450,2258,混合型
1451,2259,混合型
1453,2261,混合型
1454,2262,混合型
1455,2263,混合型
1456,2264,混合型
1458,2269,混合型
1459,2270,混合型
1460,2271,混合型
1461,2272,混合型
1468,2281,混合型
1469,2282,混合型
1470,2288,混合型
1472,2291,混合型
1473,2292,混合型
1474,2293,混合型
1475,2295,混合型
1476,2296,混合型
1482,2303,混合型
1483,2305,混合型
1484,2307,混合型
1485,2313,混合型
1486,2314,混合型
1487,2317,混合型
1489,2319,混合型
1490,2322,混合型
1491,2323,混合型
1494,2326,混合型
1495,2328,混合型
1496,2330,混合型
1497,2331,混合型
1504,2338,混合型
1505,2339,混合型
1506,2340,混合型
1510,2345,混合型
1511,2350,混合型
1515,2358,混合型
1516,2360,混合型
1519,2363,混合型
1520,2364,混合型
1521,2367,混合型
1522,2376,混合型
1524,2378,混合型
1527,2383,混合型
1528,2384,混合型
1530,2388,混合型
1531,2389,混合型
1532,2390,混合型
1534,2398,混合型
1535,2399,混合型
1539,2407,混合型
1540,2408,混合型
1541,2409,混合型
1542,2410,混合型
1543,2411,混合型
1545,2413,混合型
1546,2414,混合型
1547,2415,混合型
1548,2416,混合型
1549,2417,混合型
1550,2418,混合型
1551,2419,混合型
1552,2420,混合型
1555,2424,混合型
1556,2425,混合型
1557,2430,混合型
1558,2431,混合型
1559,2434,混合型
1560,2435,混合型
1561,2436,混合型
1565,2443,混合型
1567,2446,混合型
1569,2449,混合型
1570,2450,混合型
1571,2451,混合型
1572,2453,混合型
1573,2454,混合型
1574,2455,混合型
1575,2456,混合型
1576,2457,混合型
1577,2458,混合型
1580,2461,混合型
1581,2462,混合型
1582,2463,混合型
1583,2465,混合型
1586,2472,混合型
1589,2482,混合型
1590,2485,混合型
1592,2489,混合型
1595,2494,混合型
1596,2495,混合型
1597,2496,混合型
1598,2497,混合型
1599,2498,混合型
1601,2502,混合型
1602,2503,混合型
1603,2504,混合型
1604,2505,混合型
1605,2512,混合型
1606,2513,混合型
1607,2514,混合型
1608,2515,混合型
1609,2518,混合型
1616,2527,混合型
1619,2533,混合型
1621,2535,混合型
1622,2536,混合型
1623,2537,混合型
1624,2542,混合型
1625,2543,混合型
1626,2544,混合型
1627,2545,混合型
1629,2547,混合型
1633,2553,混合型
1634,2555,混合型
1636,2558,混合型
1637,2559,混合型
1638,2560,混合型
1639,2561,混合型
1640,2562,混合型
1641,2563,混合型
1642,2564,混合型
1643,2567,混合型
1645,2574,混合型
1646,2577,混合型
1649,2580,混合型
1650,2581,混合型
1651,2582,混合型
1652,2583,混合型
1653,2584,混合型
1658,2593,混合型
1659,2594,混合型
1661,2596,混合型
1662,2597,混合型
1663,2598,混合型
1664,2599,混合型
1665,2601,混合型
1666,2602,混合型
1667,2604,混合型
1668,2605,混合型
1669,2612,混合型
1670,2614,混合型
1671,2615,混合型
1672,2620,混合型
1674,2622,混合型
1675,2624,混合型
1676,2628,混合型
1677,2629,混合型
1678,2630,混合型
1679,2631,混合型
1682,2634,混合型
1687,2639,混合型
1688,2640,混合型
1689,2643,混合型
1694,2649,混合型
1698,2653,混合型
1699,2654,混合型
1700,2655,混合型
1702,2662,混合型
1703,2663,混合型
1704,2664,混合型
1705,2665,混合型
1706,2666,混合型
1707,2667,混合型
1708,2668,混合型
1709,2669,混合型
1714,2681,混合型
1715,2682,混合型
1716,2683,混合型
1718,2685,混合型
1719,2686,混合型
1720,2690,混合型
1721,2691,混合型
1722,2692,混合型
1723,2694,混合型
1728,2703,混合型
1729,2707,混合型
1730,2708,混合型
1735,2713,混合型
1736,2714,混合型
1737,2717,混合型
1738,2718,混合型
1744,2730,混合型
1745,2731,混合型
1746,2732,混合型
1756,2745,混合型
1757,2746,混合型
1769,2767,混合型
1770,2768,混合型
1772,2770,混合型
1773,2771,混合型
1774,2772,混合型
1775,2773,混合型
1776,2774,混合型
1778,2776,混合型
1779,2777,混合型
1780,2778,混合型
1781,2779,混合型
1782,2780,混合型
1783,2783,混合型
1784,2784,混合型
1788,2789,混合型
1789,2790,混合型
1790,2792,混合型
1791,2793,混合型
1794,2801,混合型
1795,2802,混合型
1796,2803,混合型
1797,2804,混合型
1799,2808,混合型
1800,2810,混合型
1801,2813,混合型
1802,2814,混合型
1805,2819,混合型
1806,2820,混合型
1807,2823,混合型
1808,2824,混合型
1812,2831,混合型
1814,2833,混合型
1815,2834,混合型
1816,2837,混合型
1817,2838,混合型
1818,2839,混合型
1819,2844,混合型
1820,2845,混合型
1822,2849,混合型
1823,2850,混合型
1824,2851,混合型
1827,2860,混合型
1829,2862,混合型
1830,2863,混合型
1841,2885,混合型
1848,2908,混合型
1850,2910,混合型
1855,2919,混合型
1857,2923,混合型
1864,2934,混合型
1865,2935,混合型
1868,2938,混合型
1869,2939,混合型
1870,2943,混合型
1871,2945,混合型
1873,2955,混合型
1876,2959,混合型
1882,2967,混合型
1883,2968,混合型
1889,2983,混合型
1892,2989,混合型
1898,3000,混合型
1899,3001,混合型
1901,3004,混合型
1908,3025,混合型
1909,3026,混合型
1910,3027,混合型
1911,3028,混合型
1912,3029,混合型
1913,3030,混合型
1914,3031,混合型
1915,3032,混合型
1916,3033,混合型
1925,3044,混合型
1926,3045,混合型
1930,3059,混合型
1931,3062,混合型
1932,3063,混合型
1933,3064,混合型
1939,3095,混合型
1940,3096,混合型
1945,3104,混合型
1946,3105,混合型
1947,3106,混合型
1952,3115,混合型
1953,3116,混合型
1954,3117,混合型
1955,3118,混合型
1956,3119,混合型
1957,3120,混合型
1961,3125,混合型
1963,3131,混合型
1964,3132,混合型
1968,3142,混合型
1969,3143,混合型
1970,3144,混合型
1973,3147,混合型
1974,3150,混合型
1975,3151,混合型
1976,3152,混合型
1977,3153,混合型
1978,3154,混合型
1980,3161,混合型
1984,3165,混合型
1985,3166,混合型
1988,3169,混合型
1989,3170,混合型
1993,3175,混合型
1998,3182,混合型
1999,3183,混合型
2001,3186,混合型
2002,3187,混合型
2015,3208,混合型
2025,3224,混合型
2026,3225,混合型
2035,3234,混合型
2036,3235,混合型
2039,3238,混合型
2040,3241,混合型
2041,3242,混合型
2058,3279,混合型
2060,3282,混合型
2061,3283,混合型
2062,3284,混合型
2069,3291,混合型
2070,3292,混合型
2071,3293,混合型
2072,3295,混合型
2076,3300,混合型
2079,3304,混合型
2080,3305,混合型
2081,3308,混合型
2087,3319,混合型
2088,3320,混合型
2093,3331,混合型
2094,3332,混合型
2095,3333,混合型
2099,3339,混合型
2100,3340,混合型
2102,3343,混合型
2103,3344,混合型
2104,3345,混合型
2105,3346,混合型
2107,3351,混合型
2108,3352,混合型
2112,3362,混合型
2116,3367,混合型
2117,3368,混合型
2120,3373,混合型
2121,3374,混合型
2122,3378,混合型
2123,3379,混合型
2124,3380,混合型
2134,3396,混合型
2135,3397,混合型
2141,3404,混合型
2142,3405,混合型
2145,3411,混合型
2146,3412,混合型
2147,3413,混合型
2148,3414,混合型
2149,3415,混合型
2157,3432,混合型
2158,3433,混合型
2159,3434,混合型
2160,3435,混合型
2162,3446,混合型
